,Col001volt,Col001curr,Col002volt,Col002curr,Col003volt,Col003curr,Col004volt,Col004curr,Col005volt,Col005curr,Col006volt,Col006curr,Col007volt,Col007curr,Col008volt,Col008curr,Col009volt,Col009curr,Col010volt,Col010curr
16,-0.17979919999999994,8e-09,-0.33198209999999995,8e-09,-0.33339719999999995,8e-09,-0.17315590000000003,8e-09,-0.16889069999999995,8e-09,-0.23570059999999993,8e-09,-0.2562156,8e-09,-0.2819577999999999,8e-09,-0.28925029999999996,8e-09,-0.3395328999999999,8e-09
17,-0.1844344,9e-09,-0.337286,9e-09,-0.338596,9e-09,-0.1777556,9e-09,-0.17357289999999992,9e-09,-0.24010319999999996,9e-09,-0.2606803,9e-09,-0.2864797,9e-09,-0.29383879999999996,9e-09,-0.3442807,9e-09
18,-0.18874349999999995,1e-08,-0.34204119999999993,1e-08,-0.3433444,1e-08,-0.18179909999999988,1e-08,-0.1777548,1e-08,-0.24412999999999996,1e-08,-0.26470629999999995,1e-08,-0.29062449999999995,1e-08,-0.2978183,1e-08,-0.3485281,1e-08
19,-0.21643659999999998,2e-08,-0.3734715999999999,2e-08,-0.37491889999999994,2e-08,-0.20884669999999994,2e-08,-0.20535709999999996,2e-08,-0.27029439999999993,2e-08,-0.2910157,2e-08,-0.3178848999999999,2e-08,-0.32470279999999996,2e-08,-0.37570499999999996,2e-08
20,-0.23256789999999994,3.0000000000000004e-08,-0.39168079999999994,3.0000000000000004e-08,-0.3931038,3.0000000000000004e-08,-0.2246134999999999,3.0000000000000004e-08,-0.22165219999999997,3.0000000000000004e-08,-0.28578629999999994,3.0000000000000004e-08,-0.3065958,3.0000000000000004e-08,-0.3341506999999999,3.0000000000000004e-08,-0.3405524999999999,3.0000000000000004e-08,-0.39084569999999996,3.0000000000000004e-08
21,-0.24421749999999998,4e-08,-0.40404019999999996,4e-08,-0.4054932,4e-08,-0.2359064999999999,4e-08,-0.2333101999999999,4e-08,-0.29682279999999994,4e-08,-0.3177125999999999,4e-08,-0.34565899999999994,4e-08,-0.35166239999999993,4e-08,-0.4008096,4e-08
22,-0.2532261,5.0000000000000004e-08,-0.41292699999999993,5.0000000000000004e-08,-0.4142762,5.0000000000000004e-08,-0.24453209999999992,5.0000000000000004e-08,-0.24240989999999996,5.0000000000000004e-08,-0.3054947,5.0000000000000004e-08,-0.3263301999999999,5.0000000000000004e-08,-0.3545743,5.0000000000000004e-08,-0.3601951,5.0000000000000004e-08,-0.40801409999999994,5.0000000000000004e-08
23,-0.2605691,6.000000000000001e-08,-0.4193665999999999,6.000000000000001e-08,-0.4206181,6.000000000000001e-08,-0.25169929999999996,6.000000000000001e-08,-0.24985249999999992,6.000000000000001e-08,-0.3125966,6.000000000000001e-08,-0.33344799999999997,6.000000000000001e-08,-0.3618178999999999,6.000000000000001e-08,-0.36717959999999994,6.000000000000001e-08,-0.4134123999999999,6.000000000000001e-08
24,-0.26671639999999996,7e-08,-0.4241303999999999,7e-08,-0.4251182,7e-08,-0.25782669999999996,7e-08,-0.25613549999999996,7e-08,-0.3187156,7e-08,-0.3393921999999999,7e-08,-0.36789379999999994,7e-08,-0.37301549999999994,7e-08,-0.4175325999999999,7e-08
25,-0.27211509999999994,8e-08,-0.4272716,8e-08,-0.4280286,8e-08,-0.2631325,8e-08,-0.2615993999999999,8e-08,-0.32402679999999995,8e-08,-0.34460749999999996,8e-08,-0.37312029999999996,8e-08,-0.3779625,8e-08,-0.42072109999999996,8e-08
26,-0.2769744999999999,9e-08,-0.4292494,9e-08,-0.4296673,9e-08,-0.2676782,9e-08,-0.266385,9e-08,-0.3287258999999999,9e-08,-0.3491082999999999,9e-08,-0.3777113999999999,9e-08,-0.38226819999999995,9e-08,-0.4231592999999999,9e-08
27,-0.2811916,1.0000000000000001e-07,-0.4300109999999999,1.0000000000000001e-07,-0.43006599999999995,1.0000000000000001e-07,-0.27182189999999995,1.0000000000000001e-07,-0.27074129999999996,1.0000000000000001e-07,-0.3329245999999999,1.0000000000000001e-07,-0.35318019999999994,1.0000000000000001e-07,-0.38168579999999996,1.0000000000000001e-07,-0.38609569999999993,1.0000000000000001e-07,-0.4249757999999999,1.0000000000000001e-07
28,-0.3094273999999999,2.0000000000000002e-07,-0.40499279999999993,2.0000000000000002e-07,-0.4072545999999999,2.0000000000000002e-07,-0.2991773999999999,2.0000000000000002e-07,-0.2991421999999999,2.0000000000000002e-07,-0.3604478,2.0000000000000002e-07,-0.379123,2.0000000000000002e-07,-0.4058986,2.0000000000000002e-07,-0.40887549999999995,2.0000000000000002e-07,-0.4254441,2.0000000000000002e-07
29,-0.325832,3e-07,-0.43652769999999996,3e-07,-0.43987849999999995,3e-07,-0.3150609999999999,3e-07,-0.31559629999999994,3e-07,-0.37637869999999995,3e-07,-0.39334579999999997,3e-07,-0.4167586999999999,3e-07,-0.41891119999999993,3e-07,-0.4114068999999999,3e-07
30,-0.3374984999999999,4.0000000000000003e-07,-0.4620934,4.0000000000000003e-07,-0.46573599999999993,4.0000000000000003e-07,-0.3262413999999999,4.0000000000000003e-07,-0.32724339999999996,4.0000000000000003e-07,-0.3873588,4.0000000000000003e-07,-0.4024934,4.0000000000000003e-07,-0.42170569999999996,4.0000000000000003e-07,-0.4234055,4.0000000000000003e-07,-0.4047272999999999,4.0000000000000003e-07
31,-0.34646279999999996,5e-07,-0.4836454,5e-07,-0.4876315,5e-07,-0.3347439,5e-07,-0.3360742,5e-07,-0.39548839999999996,5e-07,-0.40887509999999994,5e-07,-0.4231940999999999,5e-07,-0.4246181,5e-07,-0.416496,5e-07
32,-0.3537625,6e-07,-0.502628,6e-07,-0.5066440999999999,6e-07,-0.34160099999999993,6e-07,-0.343117,6e-07,-0.4017071,6e-07,-0.41335449999999996,6e-07,-0.4224165,6e-07,-0.42374349999999994,6e-07,-0.4270332,6e-07
33,-0.3597117999999999,7.000000000000001e-07,-0.5197853,7.000000000000001e-07,-0.5239444,7.000000000000001e-07,-0.3473468999999999,7.000000000000001e-07,-0.34895149999999997,7.000000000000001e-07,-0.40662299999999996,7.000000000000001e-07,-0.4165110999999999,7.000000000000001e-07,-0.4201473,7.000000000000001e-07,-0.42134649999999996,7.000000000000001e-07,-0.43642689999999995,7.000000000000001e-07
34,-0.36485899999999993,8.000000000000001e-07,-0.5354618,8.000000000000001e-07,-0.5396696999999999,8.000000000000001e-07,-0.35233499999999995,8.000000000000001e-07,-0.3539199999999999,8.000000000000001e-07,-0.4105654999999999,8.000000000000001e-07,-0.4187025,8.000000000000001e-07,-0.41700709999999996,8.000000000000001e-07,-0.418079,8.000000000000001e-07,-0.44495719999999994,8.000000000000001e-07
35,-0.36939749999999993,9.000000000000001e-07,-0.5500271,9.000000000000001e-07,-0.5543279,9.000000000000001e-07,-0.35658199999999995,9.000000000000001e-07,-0.3582000999999999,9.000000000000001e-07,-0.41360699999999995,9.000000000000001e-07,-0.42013369999999994,9.000000000000001e-07,-0.4132752999999999,9.000000000000001e-07,-0.41427479999999994,9.000000000000001e-07,-0.4527076,9.000000000000001e-07
36,-0.3733668,1e-06,-0.5637209,1e-06,-0.5680215,1e-06,-0.3603622999999999,1e-06,-0.36192939999999996,1e-06,-0.41594239999999993,1e-06,-0.42091429999999996,1e-06,-0.40952219999999995,1e-06,-0.41045679999999996,1e-06,-0.45992179999999994,1e-06
37,-0.3985997,2e-06,-0.6705951,2e-06,-0.6754865,2e-06,-0.3837803999999999,2e-06,-0.3854327999999999,2e-06,-0.4172585999999999,2e-06,-0.4118885,2e-06,-0.4189022,2e-06,-0.41993479999999994,2e-06,-0.5145075,2e-06
38,-0.41112499999999996,3e-06,-0.7502005999999999,3e-06,-0.7553178999999999,3e-06,-0.3961180999999999,3e-06,-0.3976645,3e-06,-0.40458989999999995,3e-06,-0.39991469999999996,3e-06,-0.4427772,3e-06,-0.4437489,3e-06,-0.5536698999999999,3e-06
39,-0.417662,4e-06,-0.8141398,4e-06,-0.8195011,4e-06,-0.403872,4e-06,-0.4052815999999999,4e-06,-0.4018623,4e-06,-0.4096531,4e-06,-0.4614090999999999,4e-06,-0.4623942,4e-06,-0.5857498,4e-06
40,-0.42017839999999995,5e-06,-0.8661158999999999,5e-06,-0.8710959,5e-06,-0.4092271999999999,5e-06,-0.4104877,5e-06,-0.41376009999999996,5e-06,-0.4207004,5e-06,-0.47701499999999997,5e-06,-0.47801669999999996,5e-06,-0.6133409,5e-06
41,-0.4196658,6e-06,-0.9050128,6e-06,-0.9089246,6e-06,-0.4130083,6e-06,-0.41401769999999993,6e-06,-0.4239799999999999,6e-06,-0.4300489999999999,6e-06,-0.49066,6e-06,-0.49170539999999996,6e-06,-0.6380224,6e-06
42,-0.41689639999999994,7e-06,-0.9307042,7e-06,-0.9335011,7e-06,-0.4156761,7e-06,-0.4164407,7e-06,-0.4328253999999999,7e-06,-0.4381636,7e-06,-0.5029117,7e-06,-0.503926,7e-06,-0.6604513999999999,7e-06
43,-0.4127381,8e-06,-0.947112,8e-06,-0.9491501999999999,8e-06,-0.4174603,8e-06,-0.41803979999999996,8e-06,-0.44056889999999993,8e-06,-0.44536889999999996,8e-06,-0.5140216999999999,8e-06,-0.5151036,8e-06,-0.6810807999999999,8e-06
44,-0.40783519999999995,9e-06,-0.9579565999999999,9e-06,-0.9595176,9e-06,-0.4186342999999999,9e-06,-0.41887929999999995,9e-06,-0.4475262,9e-06,-0.4518827999999999,9e-06,-0.52426,9e-06,-0.5254878,9e-06,-0.7002839,9e-06
45,-0.40296599999999994,1e-05,-0.96563,1e-05,-0.9668901,1e-05,-0.4192534,1e-05,-0.41924609999999995,1e-05,-0.4538403,1e-05,-0.45784519999999995,1e-05,-0.5338887999999999,1e-05,-0.5350716999999999,1e-05,-0.7182803,1e-05
