Column,Bank,Type,W,L,Unit Cell,Block Cell,Top Block,Well/Sub,VDD,Notes,Column,Bank,Type,W,L,Unit Cell,Block Cell,Top Block,Well/Sub,VDD,Notes
78,2,nthick,8,8,UC32/COL32,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,"**Pattern Difference: 8/8 nthickbc Cell did not fit, so replaced with nthick surface channel",,,,,,,,,,,
79,2,nthick,8,8,UC32/COL32,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,"**Pattern Difference: 8/8 nthickbc Cell did not fit, so replaced with nthick surface channel",,,,,,,,,,,
80,2,nthick,0.42,0.35,UC25/COL25,BLOCK_NFETHVSC,BLOCK_NMOSHV,psub,3.3,"** High-voltage, surface channel",,,,,,,,,,,
81,2,nthick,0.42,0.35,UC25/COL25,BLOCK_NFETHVSC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
82,2,nthick,0.42,8,UC26/COL26,BLOCK_NFETHVSC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
83,2,nthick,0.42,8,UC26/COL26,BLOCK_NFETHVSC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
84,2,nthick,1.2,0.35,UC27/COL27,BLOCK_NFETHVSC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
85,2,nthick,1.2,0.35,UC27/COL27,BLOCK_NFETHVSC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
86,2,nthick,1.2,0.5,UC28/COL28,BLOCK_NFETHVSC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
87,2,nthick,1.2,0.5,UC28/COL28,BLOCK_NFETHVSC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
88,2,nthick,1.2,0.8,UC29/COL29,BLOCK_NFETHVSC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
89,2,nthick,1.2,0.8,UC29/COL29,BLOCK_NFETHVSC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
90,2,nthick,1.2,8,UC30/COL30,BLOCK_NFETHVSC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
91,2,nthick,1.2,8,UC30/COL30,BLOCK_NFETHVSC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
92,2,nthick,8,8,UC31/COL31,BLOCK_NFETHVSC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
93,2,nthick,8,8,UC31/COL31,BLOCK_NFETHVSC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
94,2,nthickbc,8,8,UC24/COL24,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,"**Pattern Difference: 8/8 nthickbc; ** High-voltage, buried channel",,,,,,,,,,,
95,2,nthickbc,8,8,UC24/COL24,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,"**Pattern Difference: 8/8 nthickbc; ** High-voltage, buried channel",,,,,,,,,,,
96,3,nthickbc,0.42,0.35,UC17/COL17,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,"** High-voltage, buried channel, Deep n-well",,,,,,,,,,,"** High-voltage, buried channel, Depp n-well"
97,3,nthickbc,0.42,0.35,UC17/COL17,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
98,3,nthickbc,0.42,8,UC18/COL18,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
99,3,nthickbc,0.42,8,UC18/COL18,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
100,3,nthickbc,1.2,0.35,UC19/COL19,BLOCK_NFETHVBC,BLOCK_NMOSHV_DNWELL,pwell/dnwell,3.3,,,,,,,,,,,,
