,currIn,v2
409,9.97415e-10,-1.49755
410,9.96647e-10,-1.50388
411,9.99376e-10,-1.51366
412,9.94686e-10,-1.52285
413,9.98012e-10,-1.53464
414,9.97671e-10,-1.54614
415,9.98694e-10,-1.55477
416,9.97244e-10,-1.56339
417,9.9733e-10,-1.56684
418,9.9571e-10,-1.57015
419,9.98437e-10,-1.57101
420,9.99205e-10,-1.57561
421,9.95197e-10,-1.5746
422,9.95624e-10,-1.57173
423,9.97074e-10,-1.5667
424,9.95454e-10,-1.56526
425,9.97159e-10,-1.56109
426,9.96476e-10,-1.56037
427,9.96562e-10,-1.55563
428,9.96306e-10,-1.55246
429,9.97074e-10,-1.54787
430,9.99546e-10,-1.54456
431,9.96221e-10,-1.5437
432,9.94175e-10,-1.53824
433,9.97926e-10,-1.53349
434,9.97074e-10,-1.52904
435,9.9912e-10,-1.52616
436,9.96306e-10,-1.51969
437,9.95965e-10,-1.51538
438,9.98353e-10,-1.51006
439,9.96562e-10,-1.50359
440,9.96647e-10,-1.49597
441,9.97244e-10,-1.48562
442,9.96136e-10,-1.47269
443,9.96562e-10,-1.45932
444,9.94259e-10,-1.44882
445,9.94772e-10,-1.43661
446,9.97415e-10,-1.42511
447,9.93577e-10,-1.40872
448,9.94942e-10,-1.39578
449,9.95368e-10,-1.38285
450,9.95795e-10,-1.37192
451,9.95113e-10,-1.35769
452,9.96051e-10,-1.34734
453,9.95538e-10,-1.3357
454,9.96988e-10,-1.32808
455,9.93834e-10,-1.31471
456,9.94259e-10,-1.30292
457,9.94175e-10,-1.28869
458,9.97159e-10,-1.27791
459,9.95283e-10,-1.26627
460,9.9588e-10,-1.25577
461,9.92981e-10,-1.24643
462,9.98096e-10,-1.23091
463,9.93663e-10,-1.21538
464,9.96647e-10,-1.20245
465,9.94942e-10,-1.19267
466,9.9588e-10,-1.18002
467,9.93493e-10,-1.16205
468,9.93663e-10,-1.14136
469,9.96647e-10,-1.12497
470,9.94686e-10,-1.10657
471,9.93236e-10,-1.09377
472,9.94942e-10,-1.07839
473,9.95454e-10,-1.06503
474,9.96306e-10,-1.04979
475,9.95538e-10,-1.03628
476,9.95197e-10,-1.02449
477,9.95368e-10,-1.00954
478,9.94686e-10,-0.995595
479,9.97671e-10,-0.981078
480,9.97841e-10,-0.971591
481,9.99461e-10,-0.964115
482,9.98096e-10,-0.959373
483,9.95965e-10,-0.952759
484,9.94601e-10,-0.94974
485,9.97756e-10,-0.946147
486,9.95368e-10,-0.945573
487,9.98267e-10,-0.943704
488,9.96733e-10,-0.944853
489,9.96392e-10,-0.943272
490,9.97074e-10,-0.942986
491,9.975e-10,-0.939965
492,9.94601e-10,-0.941117
493,9.96903e-10,-0.939965
494,9.975e-10,-0.942123
495,9.95795e-10,-0.938098
496,9.96903e-10,-0.939536
497,9.99717e-10,-0.939391
498,9.96903e-10,-0.938241
499,9.96647e-10,-0.941834
500,9.96988e-10,-0.94198
501,9.98694e-10,-0.944278
502,9.96817e-10,-0.945859
503,9.98182e-10,-0.94816
504,9.96562e-10,-0.952616
505,9.99035e-10,-0.961671
506,9.94601e-10,-0.970297
507,9.9878e-10,-0.978777
508,9.9895e-10,-0.983665
509,9.98864e-10,-0.993583
510,9.98267e-10,-1.00408
511,9.9895e-10,-1.01601
512,9.97159e-10,-1.0242
513,9.96647e-10,-1.03196
514,9.95454e-10,-1.03915
515,9.96562e-10,-1.04864
516,9.96817e-10,-1.05539
517,1.00134e-09,-1.06201
518,9.96817e-10,-1.06948
519,9.97159e-10,-1.07696
520,9.99546e-10,-1.08457
521,9.98864e-10,-1.09406
522,9.97415e-10,-1.10441
523,1.00014e-09,-1.11016
524,9.99887e-10,-1.11476
525,9.9895e-10,-1.12209
526,1.00014e-09,-1.13675
527,9.94686e-10,-1.14495
528,9.98012e-10,-1.15142
529,9.96476e-10,-1.15932
530,9.96733e-10,-1.1714
531,9.99887e-10,-1.1862
532,9.9878e-10,-1.20273
533,9.99291e-10,-1.21596
534,9.98694e-10,-1.22659
535,9.98609e-10,-1.23565
536,9.9733e-10,-1.24428
537,9.99376e-10,-1.25793
538,9.97159e-10,-1.26713
539,9.98864e-10,-1.27676
540,9.97926e-10,-1.28409
541,9.98523e-10,-1.29416
542,9.98182e-10,-1.30465
543,9.97671e-10,-1.31399
544,9.94601e-10,-1.3173
545,9.96817e-10,-1.31874
546,9.96306e-10,-1.31902
547,9.96988e-10,-1.32032
548,9.96476e-10,-1.31945
549,9.97074e-10,-1.31773
550,9.96647e-10,-1.31442
551,9.94431e-10,-1.3104
552,9.98694e-10,-1.30652
553,9.96051e-10,-1.30609
554,9.96733e-10,-1.30177
555,9.94942e-10,-1.29904
556,9.97585e-10,-1.29459
557,9.96817e-10,-1.29214
558,9.97159e-10,-1.28798
559,9.96647e-10,-1.28467
560,9.98096e-10,-1.27978
561,9.96051e-10,-1.27834
562,9.95795e-10,-1.27116
563,9.97926e-10,-1.26612
564,9.97415e-10,-1.25922
565,9.97244e-10,-1.25577
566,9.95027e-10,-1.24931
567,9.94004e-10,-1.24155
568,9.96306e-10,-1.22775
569,9.92639e-10,-1.2151
570,9.93748e-10,-1.2023
