,V1,currIn
409,1.13153,1.00261e-09
410,1.11006,1.00197e-09
411,1.09879,1.00178e-09
412,1.09174,1.00187e-09
413,1.09196,1.00145e-09
414,1.10547,1.00125e-09
415,1.1245,1.00104e-09
416,1.14841,1.00053e-09
417,1.17964,1.00036e-09
418,1.20954,1.00038e-09
419,1.22569,1.00082e-09
420,1.23134,1.00114e-09
421,1.22956,1.00157e-09
422,1.2148,1.00217e-09
423,1.19447,1.00215e-09
424,1.1699,1.00232e-09
425,1.13817,1.00273e-09
426,1.11419,1.00223e-09
427,1.10198,1.00189e-09
428,1.09439,1.0019e-09
429,1.09287,1.00143e-09
430,1.10448,1.00097e-09
431,1.12279,1.00102e-09
432,1.14603,1.00063e-09
433,1.17614,1.00004e-09
434,1.20676,1.00026e-09
435,1.22552,1.00065e-09
436,1.2323,1.00125e-09
437,1.23186,1.00144e-09
438,1.21955,1.00175e-09
439,1.19966,1.00196e-09
440,1.1756,1.00216e-09
441,1.14519,1.00296e-09
442,1.11843,1.00181e-09
443,1.10521,1.00186e-09
444,1.09699,1.00171e-09
445,1.09396,1.0016e-09
446,1.10336,1.00096e-09
447,1.12106,1.00103e-09
448,1.14368,1.00047e-09
449,1.17251,1.00047e-09
450,1.20392,1.0003e-09
451,1.22527,1.00104e-09
452,1.23303,1.00099e-09
453,1.23383,1.00157e-09
454,1.22346,1.00192e-09
455,1.20461,1.00198e-09
456,1.18115,1.00237e-09
457,1.15169,1.00285e-09
458,1.12279,1.00222e-09
459,1.10829,1.00202e-09
460,1.09929,1.00192e-09
461,1.09522,1.00161e-09
462,1.10262,1.00108e-09
463,1.11955,1.00083e-09
464,1.14146,1.00088e-09
465,1.16901,1.00013e-09
466,1.20078,1.00036e-09
467,1.22457,1.00088e-09
468,1.23338,1.0011e-09
469,1.23546,1.00136e-09
470,1.22737,1.00163e-09
471,1.20908,1.00191e-09
472,1.1863,1.00255e-09
473,1.15814,1.00275e-09
474,1.12767,1.00237e-09
475,1.11168,1.00205e-09
476,1.10165,1.00201e-09
477,1.09647,1.00192e-09
478,1.10183,1.00126e-09
479,1.11794,1.00103e-09
480,1.13883,1.00088e-09
481,1.16531,1.00024e-09
482,1.19725,1.0003e-09
483,1.22322,1.0007e-09
484,1.23377,1.00124e-09
485,1.23689,1.00145e-09
486,1.23055,1.00144e-09
487,1.21339,1.00171e-09
488,1.19163,1.00214e-09
489,1.16408,1.00266e-09
490,1.13263,1.0025e-09
491,1.1148,1.00214e-09
492,1.10405,1.00215e-09
493,1.09814,1.00149e-09
494,1.1016,1.0014e-09
495,1.11646,1.00102e-09
496,1.13618,1.0007e-09
497,1.16218,1.00049e-09
498,1.19307,1.00009e-09
499,1.22093,1.00046e-09
500,1.23403,1.00117e-09
501,1.23804,1.00131e-09
502,1.23354,1.00158e-09
503,1.21757,1.00199e-09
504,1.19626,1.00235e-09
