,V1,Time
5768,3.25631,5.9503
5769,3.25523,5.95133
5770,3.2554,5.95236
5771,3.25516,5.9534
5772,3.2552,5.95443
5773,3.25545,5.95546
5774,3.25499,5.95649
5775,3.25549,5.95752
5776,3.25447,5.95856
5777,3.25444,5.95959
5778,3.25612,5.96062
5779,3.2549,5.96165
5780,3.25593,5.96268
5781,3.25526,5.96371
5782,3.25509,5.96475
5783,3.25551,5.96578
5784,3.25483,5.96681
5785,3.2554,5.96784
5786,3.25463,5.96887
5787,3.25586,5.96991
5788,3.25479,5.97094
5789,3.25617,5.97197
5790,3.25499,5.973
5791,3.25621,5.97403
5792,3.25491,5.97506
5793,3.25552,5.9761
5794,3.255,5.97713
5795,3.25532,5.97816
5796,3.25572,5.97919
5797,3.25446,5.98022
5798,3.25552,5.98126
5799,3.25434,5.98229
5800,3.25597,5.98332
5801,3.25484,5.98435
5802,3.25621,5.98538
5803,3.25529,5.98641
5804,3.25484,5.98745
5805,3.25552,5.98848
5806,3.25506,5.98951
5807,3.25519,5.99054
5808,3.25487,5.99157
5809,3.25565,5.99261
5810,3.25433,5.99364
5811,3.25581,5.99467
5812,3.25499,5.9957
5813,3.25576,5.99673
5814,3.25496,5.99776
5815,3.25517,5.9988
5816,3.25359,5.99983
5817,3.25539,6.00086
5818,3.25469,6.00189
5819,3.25543,6.00292
5820,3.25454,6.00396
5821,3.25573,6.00499
5822,3.25469,6.00602
5823,3.25641,6.00705
5824,3.25469,6.00808
5825,3.25572,6.00911
5826,3.2551,6.01015
5827,3.25575,6.01118
5828,3.25496,6.01221
5829,3.25522,6.01324
5830,3.25556,6.01427
5831,3.25459,6.01531
5832,3.25568,6.01634
5833,3.25453,6.01737
5834,3.25597,6.0184
5835,3.25454,6.01943
5836,3.25592,6.02046
5837,3.25502,6.0215
5838,3.25555,6.02253
5839,3.25533,6.02356
5840,3.25487,6.02459
5841,3.25548,6.02562
5842,3.25423,6.02665
5843,3.25572,6.02769
5844,3.25435,6.02872
5845,3.25565,6.02975
5846,3.25449,6.03078
5847,3.25605,6.03181
5848,3.25466,6.03285
5849,3.25601,6.03388
5850,3.2553,6.03491
5851,3.25517,6.03594
5852,3.25526,6.03697
5853,3.25489,6.038
5854,3.25456,6.03904
5855,3.25529,6.04007
5856,3.25349,6.0411
5857,3.25558,6.04213
5858,3.25483,6.04316
5859,3.25586,6.04419
5860,3.25435,6.04523
5861,3.25632,6.04626
5862,3.25456,6.04729
5863,3.25506,6.04832
5864,3.25535,6.04935
5865,3.25513,6.05039
5866,3.25491,6.05142
5867,3.25563,6.05245
5868,3.2545,6.05348
5869,3.25553,6.05451
5870,3.25434,6.05554
5871,3.25449,6.05658
5872,3.25591,6.05761
5873,3.2549,6.05864
5874,3.25536,6.05967
5875,3.25499,6.0607
5876,3.25503,6.06173
5877,3.25546,6.06277
5878,3.25424,6.0638
5879,3.25569,6.06483
5880,3.25434,6.06586
5881,3.25571,6.06689
5882,3.25431,6.06792
5883,3.25604,6.06896
5884,3.25507,6.06999
5885,3.25545,6.07102
5886,3.25502,6.07205
5887,3.25516,6.07308
5888,3.25562,6.07412
5889,3.25461,6.07515
5890,3.25604,6.07618
5891,3.25428,6.07721
5892,3.25563,6.07824
5893,3.25502,6.07927
5894,3.25615,6.08031
5895,3.25471,6.08134
5896,3.25597,6.08237
5897,3.25464,6.0834
5898,3.25474,6.08443
5899,3.25456,6.08547
5900,3.25583,6.0865
5901,3.25466,6.08753
5902,3.25612,6.08856
