,V1,currIn,v2
231,2.4661,9.85299e-10,-0.691748
232,2.48048,9.84447e-10,-0.676653
233,2.48911,9.89051e-10,-0.657964
234,2.50076,9.87942e-10,-0.637839
235,2.50996,9.87858e-10,-0.618434
236,2.52103,9.83338e-10,-0.596151
237,2.52995,9.89051e-10,-0.580771
238,2.53915,9.82741e-10,-0.562944
239,2.55798,9.83679e-10,-0.540664
240,2.57078,9.84532e-10,-0.513639
241,2.57998,9.90245e-10,-0.494375
242,2.58919,9.88455e-10,-0.475399
243,2.6063,9.83679e-10,-0.452545
244,2.6224,9.80269e-10,-0.422499
245,2.6385,9.78904e-10,-0.388
246,2.65562,9.80098e-10,-0.359392
247,2.67071,9.80865e-10,-0.328774
248,2.68365,9.83509e-10,-0.305774
249,2.69386,9.88113e-10,-0.277886
250,2.70853,9.83679e-10,-0.257616
251,2.71859,9.83168e-10,-0.234041
252,2.7334,9.81803e-10,-0.211761
253,2.74519,9.8547e-10,-0.186172
254,2.76073,9.85556e-10,-0.161448
255,2.76935,9.84191e-10,-0.139742
256,2.78042,9.85981e-10,-0.119903
257,2.78776,9.90416e-10,-0.103085
258,2.79509,9.90416e-10,-0.0879908
259,2.80084,9.92036e-10,-0.0805163
260,2.80415,9.92377e-10,-0.0693035
261,2.81048,9.9519e-10,-0.0611091
262,2.81206,9.95787e-10,-0.060389
263,2.81277,9.94765e-10,-0.0578022
264,2.81163,9.94935e-10,-0.0583768
265,2.81134,9.97152e-10,-0.0557899
266,2.81766,9.95276e-10,-0.0579453
267,2.81738,9.94765e-10,-0.055933
268,2.82284,9.95873e-10,-0.0557899
269,2.81867,9.96214e-10,-0.0529146
270,2.82198,9.93741e-10,-0.0565076
271,2.82169,9.94508e-10,-0.0578022
272,2.82557,9.97493e-10,-0.0579453
273,2.82298,9.98857e-10,-0.0565076
274,2.82457,9.96469e-10,-0.056653
275,2.82327,9.9664e-10,-0.0605345
276,2.82356,9.94253e-10,-0.0659966
277,2.82212,9.98005e-10,-0.0695896
278,2.82025,1.00031e-09,-0.0718904
279,2.81881,9.98943e-10,-0.0753403
280,2.8168,9.97834e-10,-0.0808024
281,2.80976,1.00525e-09,-0.0918722
282,2.80127,1.00559e-09,-0.10941
283,2.79739,1.00568e-09,-0.124359
284,2.78891,1.00056e-09,-0.138733
285,2.78129,1.0009e-09,-0.152967
286,2.77323,1.00397e-09,-0.170648
287,2.76187,1.00593e-09,-0.190916
288,2.75526,1.00559e-09,-0.211761
289,2.74289,1.00832e-09,-0.230734
290,2.73872,1.00466e-09,-0.247841
291,2.73369,1.0015e-09,-0.263224
292,2.72564,1.00278e-09,-0.277166
293,2.71558,1.0044e-09,-0.291543
294,2.70882,1.00278e-09,-0.305774
295,2.70278,1.00372e-09,-0.324318
296,2.69602,1.00261e-09,-0.340419
297,2.69243,1.00559e-09,-0.355799
298,2.68337,1.00218e-09,-0.371468
299,2.67431,1.00295e-09,-0.386705
300,2.66697,9.96469e-10,-0.404532
301,2.6651,1.005e-09,-0.412438
302,2.65504,1.00576e-09,-0.429544
303,2.64483,1.00628e-09,-0.451825
304,2.63491,1.00619e-09,-0.471232
305,2.62786,1.00628e-09,-0.486612
306,2.62125,1.00755e-09,-0.506737
307,2.60788,1.00935e-09,-0.525281
308,2.59594,1.00781e-09,-0.554752
309,2.57812,1.00883e-09,-0.583069
310,2.56949,1.00841e-09,-0.612972
311,2.55827,1.00696e-09,-0.632808
312,2.5541,1.0073e-09,-0.65279
313,2.54303,1.00849e-09,-0.66889
314,2.5344,1.00628e-09,-0.687721
315,2.52405,1.00628e-09,-0.710146
316,2.51413,1.00687e-09,-0.732715
317,2.50651,1.00355e-09,-0.751402
318,2.49731,1.00218e-09,-0.767934
319,2.4917,1.00176e-09,-0.784609
320,2.48595,1.00176e-09,-0.802147
321,2.47948,1.00252e-09,-0.812643
322,2.4789,1.00031e-09,-0.819254
323,2.47674,1.00005e-09,-0.82026
324,2.47761,9.97067e-10,-0.827591
325,2.47703,9.98005e-10,-0.827591
326,2.48566,9.95361e-10,-0.824142
327,2.4848,9.94253e-10,-0.822561
328,2.48825,9.95361e-10,-0.818536
329,2.4871,9.99198e-10,-0.818391
330,2.49558,9.95958e-10,-0.813217
331,2.49601,9.94765e-10,-0.808616
332,2.49788,9.94508e-10,-0.806029
333,2.49946,9.94167e-10,-0.802579
334,2.50262,9.92804e-10,-0.799417
335,2.50608,9.92206e-10,-0.794959
336,2.50996,9.92718e-10,-0.787773
337,2.51226,9.96214e-10,-0.783749
338,2.51485,9.93911e-10,-0.777998
339,2.52247,9.93144e-10,-0.773542
340,2.52477,9.91182e-10,-0.766065
341,2.5321,9.91609e-10,-0.759311
342,2.53656,9.89648e-10,-0.746515
343,2.54102,9.92632e-10,-0.742636
344,2.55065,9.84447e-10,-0.725529
345,2.56316,9.86749e-10,-0.710578
346,2.57768,9.8726e-10,-0.684845
347,2.58516,9.8888e-10,-0.665152
348,2.59566,9.89733e-10,-0.645747
349,2.60601,9.85213e-10,-0.628495
350,2.61938,9.86322e-10,-0.605352
351,2.6306,9.83252e-10,-0.579045
352,2.64339,9.83934e-10,-0.558057
353,2.65576,9.88283e-10,-0.534914
354,2.66525,9.88625e-10,-0.519533
355,2.67877,9.86152e-10,-0.498688
356,2.68653,9.87431e-10,-0.483594
357,2.69688,9.87517e-10,-0.462174
358,2.70752,9.83168e-10,-0.444493
359,2.72248,9.85384e-10,-0.423219
360,2.73182,9.88113e-10,-0.402088
361,2.74088,9.87858e-10,-0.383976
362,2.75282,9.84702e-10,-0.359538
363,2.76331,9.88455e-10,-0.345306
364,2.77122,9.88113e-10,-0.328774
365,2.78373,9.83423e-10,-0.309224
366,2.8007,9.82997e-10,-0.282054
367,2.81019,9.82314e-10,-0.258622
368,2.82025,9.86919e-10,-0.238497
369,2.82931,9.85556e-10,-0.215786
370,2.85059,9.82059e-10,-0.194366
371,2.86396,9.78819e-10,-0.16001
372,2.88093,9.80012e-10,-0.130541
373,2.89718,9.824e-10,-0.0976205
374,2.91127,9.81632e-10,-0.0717473
375,2.92536,9.84958e-10,-0.0496078
376,2.93528,9.86152e-10,-0.0253153
377,2.94822,9.8726e-10,-0.000588894
378,2.9616,9.84105e-10,0.0235558
379,2.97525,9.824e-10,0.0471306
380,2.98532,9.83593e-10,0.0717092
381,2.99625,9.88283e-10,0.0928378
382,3.01063,9.84361e-10,0.11555
383,3.01997,9.86067e-10,0.131073
384,3.0322,9.89051e-10,0.151196
385,3.03234,9.94167e-10,0.159965
386,3.03694,9.94594e-10,0.168014
387,3.04312,9.93229e-10,0.175774
388,3.04873,9.93059e-10,0.180805
389,3.04844,9.93656e-10,0.18713
390,3.05017,9.9502e-10,0.185692
391,3.04988,9.95703e-10,0.187993
392,3.05161,9.95617e-10,0.186987
393,3.05175,9.96896e-10,0.187993
394,3.05549,9.98516e-10,0.186124
395,3.05736,9.9357e-10,0.192161
396,3.05592,9.95617e-10,0.190437
397,3.05678,9.98516e-10,0.188711
398,3.05578,9.94765e-10,0.188279
399,3.05836,9.94338e-10,0.188568
400,3.05635,9.94253e-10,0.186124
401,3.05635,9.97578e-10,0.186844
402,3.05693,9.99028e-10,0.183394
403,3.05693,9.97664e-10,0.180662
404,3.05405,9.95532e-10,0.176351
405,3.05218,9.99881e-10,0.17175
406,3.05161,9.95532e-10,0.167725
407,3.05046,9.99454e-10,0.159533
408,3.0391,1.00346e-09,0.146739
409,3.02745,1.00764e-09,0.127335
410,3.02242,1.00363e-09,0.114686
411,3.01954,1.00159e-09,0.0978684
412,3.01091,1.00312e-09,0.0860834
413,3.00459,1.00508e-09,0.0627971
414,2.99352,1.00585e-09,0.0464106
415,2.98302,1.00321e-09,0.0252819
416,2.97425,1.00389e-09,0.00573397
417,2.96921,1.00576e-09,-0.0122333
418,2.96375,1.0038e-09,-0.0257468
419,2.95656,1.00457e-09,-0.0363827
420,2.94865,1.00286e-09,-0.0533462
