,Time,V1,currIn
462,4.62,3.25578,9.99717e-10
463,4.63,3.25729,1.00037e-09
464,4.64,3.25877,1.00209e-09
465,4.65,3.25671,1.0015e-09
466,4.66,3.25652,1.00193e-09
467,4.67,3.25809,1.00204e-09
468,4.68,3.25772,1.00196e-09
469,4.69,3.2594,1.00121e-09
470,4.7,3.25849,1.00077e-09
471,4.71,3.25658,1.00215e-09
472,4.72,3.25819,1.00169e-09
473,4.73,3.25775,1.00166e-09
474,4.74,3.25552,1.00188e-09
475,4.75,3.25888,1.00089e-09
476,4.76,3.25971,1.00132e-09
477,4.77,3.25706,1.00222e-09
478,4.78,3.25763,1.00299e-09
479,4.79,3.25696,1.00222e-09
480,4.8,3.25727,1.00109e-09
481,4.81,3.25697,1.00289e-09
482,4.82,3.25842,9.99008e-10
483,4.83,3.25471,1.00169e-09
484,4.84,3.25779,1.00241e-09
485,4.85,3.25654,1.00076e-09
486,4.86,3.25727,1.00164e-09
487,4.87,3.25795,1.00102e-09
488,4.88,3.25819,1.00163e-09
489,4.89,3.2574,1.00181e-09
490,4.9,3.25938,1.00291e-09
491,4.91,3.25865,1.00046e-09
492,4.92,3.25673,1.00065e-09
493,4.93,3.25526,1.00072e-09
494,4.94,3.2576,9.99844e-10
495,4.95,3.25546,1.00235e-09
496,4.96,3.25464,1.00026e-09
497,4.97,3.25619,1.00049e-09
498,4.98,3.25671,1.00205e-09
499,4.99,3.25818,1.00053e-09
500,5.0,3.25545,1.00133e-09
501,5.01,3.25874,1.00112e-09
502,5.02,3.25648,1.00156e-09
503,5.03,3.25825,1.00105e-09
504,5.04,3.25718,9.99708e-10
505,5.05,3.2588,1.00024e-09
506,5.06,3.25571,1.00113e-09
507,5.07,3.2553,1.00056e-09
508,5.08,3.25703,1.00104e-09
509,5.09,3.25713,1.00157e-09
510,5.1,3.25901,1.00215e-09
511,5.11,3.25536,1.00299e-09
512,5.12,3.2549,1.00062e-09
513,5.13,3.25813,1.00213e-09
514,5.14,3.25851,1.00221e-09
515,5.15,3.2596,1.00117e-09
516,5.16,3.2576,1.00128e-09
517,5.17,3.25828,1.00096e-09
518,5.18,3.25838,1.00047e-09
519,5.19,3.25834,9.99588e-10
520,5.2,3.25513,1.00284e-09
521,5.21,3.25598,1.00138e-09
522,5.22,3.25629,1.00264e-09
523,5.23,3.25732,1.00158e-09
524,5.24,3.25841,9.99674e-10
525,5.25,3.25901,1.00276e-09
526,5.26,3.25582,1.00118e-09
527,5.27,3.25563,9.99349e-10
528,5.28,3.25744,1.00175e-09
529,5.29,3.25405,1.00001e-09
530,5.3,3.25708,1.00089e-09
531,5.31,3.25596,1.00033e-09
532,5.32,3.2572,1.00146e-09
533,5.33,3.25778,1.00163e-09
534,5.34,3.25539,1.00063e-09
535,5.35,3.25549,1.00169e-09
536,5.36,3.25824,1.00086e-09
537,5.37,3.25625,1.00053e-09
538,5.38,3.25891,1.00269e-09
539,5.39,3.25445,1.00287e-09
540,5.4,3.25722,1.00215e-09
541,5.41,3.25723,1.00192e-09
542,5.42,3.25546,1.00068e-09
543,5.43,3.25743,9.9993e-10
544,5.44,3.25639,1.00227e-09
545,5.45,3.25839,1.00101e-09
546,5.46,3.25844,1.0024e-09
547,5.47,3.25553,1.00037e-09
548,5.48,3.25611,1.0026e-09
549,5.49,3.25747,1.0018e-09
550,5.5,3.26177,1.00136e-09
551,5.51,3.25826,1.00086e-09
552,5.52,3.25543,9.99554e-10
553,5.53,3.25793,1.00205e-09
554,5.54,3.25586,1.00221e-09
555,5.55,3.25686,1.00118e-09
556,5.56,3.25752,1.00283e-09
557,5.57,3.25698,1.00063e-09
558,5.58,3.25718,1.00056e-09
559,5.59,3.25527,1.00138e-09
560,5.6,3.25734,1.00209e-09
561,5.61,3.2567,1.00128e-09
562,5.62,3.25851,1.00065e-09
563,5.63,3.25742,1.00321e-09
564,5.64,3.25806,1.0014e-09
565,5.65,3.25805,1.00237e-09
566,5.66,3.2592,1.00239e-09
567,5.67,3.25654,9.99614e-10
568,5.68,3.25691,1.00155e-09
569,5.69,3.25865,1.00019e-09
570,5.7,3.25444,1.0009e-09
571,5.71,3.25684,1.00246e-09
572,5.72,3.25694,1.00004e-09
573,5.73,3.25583,1.00082e-09
574,5.74,3.25631,1.00283e-09
575,5.75,3.25872,1.00309e-09
576,5.76,3.25661,1.00085e-09
577,5.77,3.25697,1.001e-09
578,5.78,3.25606,1.00154e-09
579,5.79,3.25687,1.00149e-09
580,5.8,3.25726,1.00068e-09
581,5.81,3.25601,1.00131e-09
582,5.82,3.25469,1.00169e-09
583,5.83,3.25511,1.00078e-09
584,5.84,3.25658,1.00057e-09
585,5.85,3.25708,1.00067e-09
586,5.86,3.25511,1.00158e-09
587,5.87,3.25539,1.00042e-09
588,5.88,3.25686,1.00344e-09
589,5.89,3.25652,1.00164e-09
590,5.9,3.26076,1.00013e-09
591,5.91,3.25671,1.00011e-09
592,5.92,3.2578,1.00165e-09
593,5.93,3.25611,9.99895e-10
594,5.94,3.25711,9.99417e-10
595,5.95,3.25435,1.00117e-09
596,5.96,3.2579,1.00198e-09
597,5.97,3.25701,9.99742e-10
598,5.98,3.25812,1.00208e-09
599,5.99,3.25717,1.00084e-09
600,6.0,3.25667,1.00087e-09
601,6.01,3.25907,1.00141e-09
602,6.02,3.25629,1.00121e-09
603,6.03,3.25654,9.99699e-10
604,6.04,3.25894,1.00183e-09
605,6.05,3.25723,1.00297e-09
606,6.06,3.25881,1.0023e-09
607,6.07,3.25509,1.00031e-09
608,6.08,3.25651,1.00169e-09
