,Row 1
734,1.09037
735,1.09497
736,1.09167
737,1.09598
738,1.09627
739,1.09742
740,1.1
741,1.09986
742,1.09885
743,1.10273
744,1.10331
745,1.09957
746,1.1023
747,1.09943
748,1.10058
749,1.099
750,1.09526
751,1.09454
752,1.09397
753,1.0898
754,1.09167
755,1.08937
756,1.08736
757,1.08678
758,1.08305
759,1.08161
760,1.08376
761,1.08448
762,1.08189
763,1.08549
764,1.08376
765,1.08577
766,1.08807
767,1.08807
768,1.09066
769,1.0921
770,1.09368
771,1.09813
772,1.09713
773,1.09612
774,1.09957
775,1.10115
776,1.10388
777,1.10532
778,1.1013
779,1.10144
780,1.10245
781,1.10101
782,1.09914
783,1.099
784,1.09253
785,1.09641
786,1.09181
787,1.09052
788,1.09095
789,1.08577
790,1.08305
791,1.08506
792,1.0852
793,1.0829
794,1.08305
795,1.08189
796,1.08649
797,1.08894
798,1.08721
799,1.08592
800,1.09037
801,1.09239
802,1.09325
803,1.09296
804,1.09325
805,1.09598
806,1.0954
807,1.09842
808,1.10029
809,1.10015
810,1.10144
811,1.10403
812,1.10058
813,1.10202
814,1.10216
815,1.09986
816,1.09813
817,1.09785
818,1.09526
819,1.09497
820,1.09224
821,1.08649
822,1.08836
823,1.08635
824,1.08362
825,1.08247
826,1.08161
827,1.08319
828,1.08463
829,1.08247
830,1.08448
831,1.08621
832,1.08621
833,1.09009
834,1.09339
835,1.09138
836,1.09497
837,1.09684
838,1.0954
839,1.09742
840,1.09842
841,1.09871
842,1.10101
843,1.10115
844,1.10374
845,1.1036
846,1.09928
847,1.09928
848,1.10058
849,1.09914
850,1.09569
851,1.0954
852,1.09555
853,1.09426
854,1.09282
855,1.0898
856,1.0885
857,1.08764
858,1.08232
859,1.08606
860,1.08003
861,1.08333
862,1.08218
863,1.08247
864,1.08592
865,1.08448
866,1.08563
867,1.08707
868,1.09296
869,1.09253
870,1.09612
871,1.09555
872,1.09684
873,1.09972
874,1.10086
875,1.10101
876,1.10273
877,1.10259
878,1.10302
879,1.10288
880,1.10015
881,1.10158
882,1.09727
883,1.09512
884,1.09584
885,1.09512
886,1.09138
887,1.0885
888,1.08649
889,1.0875
890,1.08807
891,1.0852
892,1.0806
893,1.0829
894,1.08261
895,1.08635
896,1.08577
897,1.08348
898,1.08577
899,1.0875
900,1.08951
901,1.09267
902,1.09368
903,1.09195
904,1.09512
905,1.09526
906,1.09813
907,1.09943
908,1.09943
909,1.10015
910,1.10374
911,1.10302
912,1.1036
913,1.1023
914,1.09928
915,1.10101
916,1.10173
917,1.09526
918,1.09641
919,1.09267
920,1.08894
921,1.09052
922,1.08721
923,1.08491
924,1.08621
925,1.08463
926,1.07945
927,1.08261
928,1.08261
929,1.08333
930,1.08376
931,1.08491
932,1.08635
