,V1,currIn
237,0.216095,1.008590E-09
238,0.252771,1.008760E-09
239,0.2929,1.007310E-09
240,0.33648,1.010300E-09
241,0.377183,1.007220E-09
242,0.395737,1.011230E-09
243,0.397031,1.010120E-09
244,0.387106,1.012090E-09
245,0.353165,1.014130E-09
246,0.316775,1.010980E-09
247,0.27679,1.012680E-09
248,0.224867,1.013200E-09
249,0.189631,1.009360E-09
250,0.17683,1.010640E-09
251,0.17309,1.011060E-09
252,0.179417,1.010720E-09
253,0.19711,1.007820E-09
254,0.230045,1.010210E-09
255,0.266435,1.008330E-09
256,0.307281,1.012000E-09
257,0.353308,1.007650E-09
258,0.3861,1.009440E-09
259,0.399046,1.012170E-09
260,0.394585,1.008330E-09
261,0.376894,1.008930E-09
262,0.343382,1.011150E-09
263,0.306132,1.012170E-09
264,0.265284,1.012770E-09
265,0.212786,1.010210E-09
266,0.184307,1.010040E-09
267,0.179131,1.010550E-09
268,0.173233,1.006880E-09
269,0.180569,1.009190E-09
270,0.209479,1.008250E-09
271,0.243855,1.010720E-09
272,0.2824,1.009270E-09
273,0.325837,1.006710E-09
274,0.368121,1.007570E-09
275,0.395737,1.009530E-09
276,0.400484,1.008420E-09
277,0.393436,1.007740E-09
278,0.368841,1.009870E-09
279,0.329287,1.011660E-09
280,0.293331,1.012770E-09
281,0.251188,1.012770E-09
282,0.199554,1.008850E-09
283,0.184884,1.009870E-09
284,0.177262,1.008500E-09
285,0.179131,1.010890E-09
286,0.188191,1.008330E-09
287,0.221992,1.007740E-09
288,0.256798,1.008930E-09
289,0.293763,1.008590E-09
290,0.337775,1.008080E-09
291,0.38049,1.008500E-09
292,0.397606,1.008590E-09
293,0.399189,1.009100E-09
294,0.389841,1.012340E-09
295,0.358341,1.011150E-09
296,0.320945,1.011830E-09
297,0.2824,1.011400E-09
298,0.230908,1.009100E-09
299,0.192075,1.012600E-09
300,0.178554,1.009020E-09
301,0.178843,1.011150E-09
302,0.178843,1.010550E-09
303,0.199842,1.007140E-09
304,0.23206,1.009270E-09
305,0.272474,1.005860E-09
306,0.308433,1.009610E-09
307,0.354457,1.010040E-09
308,0.388978,1.007820E-09
309,0.402064,1.011830E-09
310,0.394731,1.009100E-09
311,0.382361,1.011570E-09
312,0.344102,1.015160E-09
313,0.308144,1.012000E-09
314,0.266867,1.011830E-09
315,0.21667,1.009190E-09
316,0.185459,1.007820E-09
317,0.176685,1.008930E-09
318,0.173953,1.011660E-09
319,0.184739,1.009270E-09
320,0.207465,1.010890E-09
321,0.249031,1.010550E-09
322,0.283694,1.009100E-09
323,0.326843,1.005770E-09
324,0.37071,1.009700E-09
325,0.399046,1.008500E-09
326,0.399332,1.011660E-09
327,0.394442,1.009870E-09
328,0.367978,1.012090E-09
329,0.333602,1.013540E-09
330,0.290599,1.012430E-09
331,0.250902,1.011750E-09
332,0.203149,1.009700E-09
333,0.182726,1.009780E-09
334,0.178699,1.013280E-09
335,0.18028,1.010890E-09
336,0.191212,1.007740E-09
337,0.22156,1.008760E-09
338,0.260251,1.008930E-09
339,0.295775,1.009870E-09
340,0.341225,1.007650E-09
341,0.381067,1.006120E-09
342,0.402784,1.009950E-09
343,0.401778,1.009530E-09
344,0.388978,1.009610E-09
345,0.363376,1.009950E-09
346,0.322096,1.012340E-09
347,0.281105,1.013280E-09
348,0.230908,1.012680E-09
349,0.195816,1.011490E-09
350,0.179417,1.010380E-09
351,0.177548,1.009610E-09
352,0.182583,1.009700E-09
353,0.200849,1.010380E-09
354,0.236807,1.010040E-09
355,0.274632,1.007990E-09
356,0.313611,1.010040E-09
357,0.355034,1.007910E-09
358,0.394011,1.011830E-09
359,0.405805,1.011060E-09
360,0.399477,1.010380E-09
361,0.382216,1.011400E-09
362,0.348129,1.011570E-09
363,0.311596,1.012340E-09
364,0.26629,1.013110E-09
365,0.218539,1.011750E-09
366,0.191643,1.009020E-09
367,0.180137,1.010810E-09
368,0.179417,1.012680E-09
369,0.187759,1.010300E-09
370,0.213506,1.008590E-09
371,0.250325,1.007310E-09
372,0.284126,1.008160E-09
373,0.33087,1.008590E-09
374,0.370135,1.007390E-09
375,0.398469,1.008330E-09
376,0.406957,1.009190E-09
377,0.394874,1.007310E-09
378,0.373731,1.010640E-09
379,0.335329,1.010890E-09
380,0.297215,1.011830E-09
381,0.253489,1.012940E-09
382,0.204444,1.010380E-09
383,0.188191,1.012340E-09
384,0.182295,1.008760E-09
385,0.179131,1.009780E-09
386,0.197685,1.006030E-09
