,Row 1
190,1.1013
191,1.10317
192,1.10317
193,1.10187
194,1.10331
195,1.10388
196,1.10288
197,1.10877
198,1.10776
199,1.10431
200,1.10633
201,1.10388
202,1.1023
203,1.10158
204,1.09986
205,1.09914
206,1.09871
207,1.09512
208,1.09239
209,1.09052
210,1.08807
211,1.08721
212,1.08879
213,1.0796
214,1.08189
215,1.08089
216,1.0806
217,1.08434
218,1.0806
219,1.07974
220,1.08362
221,1.08678
222,1.08563
223,1.08879
224,1.09081
225,1.09109
226,1.09354
227,1.09368
228,1.09468
229,1.09857
230,1.0954
231,1.10101
232,1.09957
233,1.09986
234,1.09928
235,1.09512
236,1.09497
237,1.09569
238,1.09569
239,1.08908
240,1.08966
241,1.08736
242,1.08319
243,1.08276
244,1.08261
245,1.07988
246,1.07974
247,1.0783
248,1.07873
249,1.07859
250,1.07687
251,1.08189
252,1.0796
253,1.08175
254,1.08592
255,1.08692
256,1.08678
257,1.09052
258,1.09081
259,1.08937
260,1.09497
261,1.09138
262,1.09655
263,1.09742
264,1.09641
265,1.10029
266,1.09655
267,1.09569
268,1.09756
269,1.09699
270,1.09382
271,1.09454
272,1.09109
273,1.09124
274,1.08994
275,1.08621
276,1.08232
277,1.08305
278,1.08074
279,1.08132
280,1.07845
281,1.07571
282,1.07787
283,1.07787
284,1.0796
285,1.0806
286,1.08017
287,1.08031
288,1.08664
289,1.08448
290,1.08908
291,1.09066
292,1.09124
293,1.09152
294,1.09454
295,1.09426
296,1.0977
297,1.09842
298,1.09641
299,1.09813
300,1.09555
301,1.09699
302,1.09411
303,1.09397
304,1.09325
305,1.09253
306,1.08793
307,1.08621
308,1.08692
309,1.08577
310,1.08232
311,1.08434
312,1.07873
313,1.08003
314,1.08017
315,1.0783
316,1.07974
317,1.07773
318,1.07888
319,1.08003
320,1.0806
321,1.08448
322,1.08463
323,1.08534
324,1.08692
325,1.09109
326,1.0931
327,1.09138
328,1.0944
329,1.09598
330,1.09972
331,1.10044
332,1.09943
333,1.09842
334,1.09871
335,1.09584
336,1.09813
337,1.09181
338,1.09267
339,1.08908
340,1.08621
341,1.08664
342,1.08434
343,1.08089
344,1.07945
345,1.08218
346,1.07629
347,1.07974
348,1.07744
349,1.07816
350,1.07988
351,1.08031
352,1.08132
353,1.08376
354,1.08319
355,1.08635
356,1.08592
357,1.08692
358,1.09023
359,1.08922
360,1.09037
361,1.09354
362,1.09598
363,1.0944
364,1.09742
365,1.09684
366,1.09655
367,1.09756
368,1.09584
369,1.09512
370,1.09555
371,1.09354
372,1.09382
373,1.0885
374,1.08463
375,1.08563
376,1.08463
377,1.08232
378,1.08276
379,1.0796
380,1.07586
381,1.07787
382,1.07701
383,1.07859
384,1.08118
385,1.07931
386,1.08232
387,1.08491
388,1.08491
389,1.08822
390,1.08721
391,1.08879
392,1.09195
393,1.09627
394,1.09253
395,1.09397
396,1.0944
397,1.09526
398,1.09928
399,1.09828
400,1.09555
401,1.09727
402,1.09598
403,1.09267
404,1.09354
405,1.09052
406,1.08951
407,1.08549
408,1.08491
409,1.08477
410,1.08405
411,1.07916
412,1.08232
413,1.07873
414,1.07701
415,1.07715
416,1.07744
417,1.07859
418,1.08189
419,1.08103
420,1.07916
421,1.08434
422,1.08391
423,1.08779
424,1.08577
425,1.09009
426,1.09109
427,1.09181
428,1.0944
429,1.09584
430,1.09584
431,1.09468
432,1.09871
433,1.0967
434,1.09699
435,1.09986
436,1.0944
437,1.0944
438,1.09411
439,1.08922
440,1.08822
441,1.08649
442,1.08161
443,1.08362
444,1.08161
445,1.08031
446,1.08074
447,1.07514
448,1.07356
449,1.07816
450,1.08003
451,1.07916
452,1.08218
453,1.08074
454,1.08463
455,1.08779
456,1.08577
457,1.08764
458,1.09066
459,1.09224
460,1.09325
461,1.09267
462,1.09382
463,1.09569
464,1.09569
465,1.09454
466,1.09699
467,1.09555
468,1.09382
469,1.09885
470,1.09181
471,1.09454
472,1.09267
473,1.08764
474,1.08779
475,1.08678
476,1.08491
477,1.08348
478,1.08232
479,1.07945
480,1.07816
481,1.07514
482,1.07428
483,1.07557
484,1.07816
485,1.08003
486,1.08362
487,1.08017
488,1.08204
489,1.08635
490,1.08721
491,1.09023
492,1.0931
493,1.09167
494,1.09483
495,1.09699
496,1.09641
497,1.09785
498,1.09699
499,1.09468
500,1.09641
501,1.09598
502,1.0967
503,1.09627
504,1.08966
505,1.08836
506,1.08937
507,1.08807
508,1.08549
509,1.08333
510,1.08491
511,1.08376
512,1.08161
513,1.08074
514,1.07787
515,1.07931
516,1.07715
517,1.08232
518,1.07873
519,1.08204
520,1.08247
521,1.08017
522,1.08491
523,1.08549
524,1.08692
525,1.08894
526,1.09282
527,1.09152
528,1.09483
529,1.09555
530,1.09512
531,1.09785
532,1.09785
533,1.09727
534,1.09828
535,1.09497
536,1.0967
537,1.09497
538,1.09009
539,1.08937
540,1.08549
541,1.08362
542,1.08534
543,1.08391
544,1.08089
545,1.08031
546,1.07859
