# sweep_type: output
# time: 1675791994.2460895
# time_str: 07/02/2023 12:46
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 0.0) [A],Drain current (Vg = 0.0) [A],Gate current (Vg = 0.0) [A],Source current (Vg = 1.0) [A],Drain current (Vg = 1.0) [A],Gate current (Vg = 1.0) [A],Source current (Vg = 2.0) [A],Drain current (Vg = 2.0) [A],Gate current (Vg = 2.0) [A],Source current (Vg = 3.0) [A],Drain current (Vg = 3.0) [A],Gate current (Vg = 3.0) [A],Source current (Vg = 4.0) [A],Drain current (Vg = 4.0) [A],Gate current (Vg = 4.0) [A],Source current (Vg = 5.0) [A],Drain current (Vg = 5.0) [A],Gate current (Vg = 5.0) [A],Source current (Vg = 6.0) [A],Drain current (Vg = 6.0) [A],Gate current (Vg = 6.0) [A],Source current (Vg = 7.0) [A],Drain current (Vg = 7.0) [A],Gate current (Vg = 7.0) [A],Source current (Vg = 8.0) [A],Drain current (Vg = 8.0) [A],Gate current (Vg = 8.0) [A],Source current (Vg = 9.0) [A],Drain current (Vg = 9.0) [A],Gate current (Vg = 9.0) [A],Source current (Vg = 10.0) [A],Drain current (Vg = 10.0) [A],Gate current (Vg = 10.0) [A]
1.000000000000000000e+00,1.931514899999999910e-08,2.617489999999999923e-10,1.905340000000000040e-08,6.428561899999999177e-05,6.425029999999999706e-05,3.531900000000000015e-08,6.691470412999999144e-04,6.691209999999999519e-04,2.604130000000000105e-08,1.418096214310000068e-03,1.418090000000000106e-03,6.214309999999999813e-09,2.073819413458000225e-03,2.073820000000000090e-03,-5.865420000000000410e-10,2.636763577950000225e-03,2.636760000000000145e-03,3.577950000000000037e-09,2.949799629130999811e-03,2.949799999999999818e-03,-3.708690000000000249e-10,3.527499901013899687e-03,3.527499999999999820e-03,-9.898609999999999642e-11,3.939539475659999818e-03,3.939540000000000056e-03,-5.243399999999999698e-10,7.126020000000000271e-03,4.372769999999999782e-03,2.753250000000000055e-03,1.716154999999999764e-02,4.614949999999999608e-03,1.254659999999999977e-02
1.100000000000000089e+00,1.676691600000000021e-08,2.432159999999999799e-10,1.652369999999999992e-08,6.402057019999999601e-05,6.398759999999999702e-05,3.297020000000000098e-08,6.804150617000000048e-04,6.803889999999999938e-04,2.606169999999999904e-08,1.506746308989999816e-03,1.506739999999999902e-03,6.308989999999999738e-09,2.225219414459999809e-03,2.225219999999999976e-03,-5.855400000000000273e-10,2.853173802149999716e-03,2.853169999999999925e-03,3.802149999999999738e-09,3.232839607753999842e-03,3.232839999999999846e-03,-3.922459999999999812e-10,3.845389923058500133e-03,3.845390000000000180e-03,-7.694149999999999481e-11,4.302549481335999834e-03,4.302549999999999604e-03,-5.186639999999999783e-10,7.520920000000000383e-03,4.776690000000000103e-03,2.744229999999999847e-03,1.763419999999999918e-02,5.066099999999999597e-03,1.256810000000000045e-02
1.200000000000000178e+00,1.574737800000000005e-08,2.273780000000000031e-10,1.551999999999999935e-08,6.435066079999999709e-05,6.431809999999999665e-05,3.256079999999999865e-08,6.896478019999999860e-04,6.896250000000000253e-04,2.280200000000000129e-08,1.578606449730000178e-03,1.578600000000000099e-03,6.449729999999999812e-09,2.378769418133000208e-03,2.378770000000000103e-03,-5.818669999999999512e-10,3.063563970039999765e-03,3.063559999999999894e-03,3.970039999999999662e-09,3.490509584206000129e-03,3.490510000000000054e-03,-4.157940000000000016e-10,4.149089943433000027e-03,4.149090000000000243e-03,-5.656699999999999838e-11,4.644489488849000251e-03,4.644490000000000250e-03,-5.111510000000000477e-10,7.920969999999999400e-03,5.174159999999999697e-03,2.746810000000000137e-03,1.808316999999999911e-02,5.493569999999999703e-03,1.258959999999999940e-02
1.300000000000000044e+00,1.566032199999999935e-08,2.068220000000000071e-10,1.545350000000000004e-08,6.431396159999999067e-05,6.428419999999999686e-05,2.976160000000000029e-08,6.928808254999999474e-04,6.928569999999999564e-04,2.382550000000000049e-08,1.653056593550000135e-03,1.653050000000000092e-03,6.593549999999999839e-09,2.514689424312000106e-03,2.514689999999999981e-03,-5.756879999999999873e-10,3.258044120019999886e-03,3.258039999999999808e-03,4.120019999999999593e-09,3.728819561159999948e-03,3.728819999999999878e-03,-4.388400000000000066e-10,4.449769962805499510e-03,4.449769999999999594e-03,-3.719450000000000272e-11,4.987709495861000590e-03,4.987710000000000234e-03,-5.041389999999999690e-10,8.278900000000000495e-03,5.555290000000000054e-03,2.723610000000000007e-03,1.847021000000000079e-02,5.919309999999999676e-03,1.255090000000000025e-02
1.400000000000000133e+00,1.367315300000000021e-08,1.911530000000000067e-10,1.348199999999999956e-08,6.455814170000000120e-05,6.452990000000000028e-05,2.824169999999999937e-08,6.967757886999999045e-04,6.967539999999999498e-04,2.178870000000000108e-08,1.708566722010000085e-03,1.708560000000000027e-03,6.722009999999999621e-09,2.644589429487999993e-03,2.644590000000000048e-03,-5.705120000000000457e-10,3.452514282279999999e-03,3.452510000000000214e-03,4.282279999999999816e-09,3.956809541620000086e-03,3.956809999999999841e-03,-4.583800000000000239e-10,4.735399983681099628e-03,4.735399999999999852e-03,-1.631889999999999986e-11,5.328359505043000002e-03,5.328359999999999867e-03,-4.949569999999999897e-10,8.661749999999999311e-03,5.949310000000000188e-03,2.712439999999999990e-03,1.889508999999999980e-02,6.335590000000000319e-03,1.255949999999999948e-02
1.500000000000000000e+00,1.254325099999999916e-08,1.724509999999999921e-10,1.237079999999999951e-08,6.440631209999999804e-05,6.437739999999999793e-05,2.891209999999999987e-08,6.985524450000000270e-04,6.985329999999999881e-04,1.944499999999999975e-08,1.756326809019999975e-03,1.756320000000000017e-03,6.809019999999999716e-09,2.757719432659999897e-03,2.757719999999999963e-03,-5.673400000000000281e-10,3.632364495209999648e-03,3.632359999999999842e-03,4.495209999999999824e-09,4.184789517571999538e-03,4.184789999999999864e-03,-4.824280000000000426e-10,5.013710001216410000e-03,5.013710000000000215e-03,1.216410000000000064e-12,5.659109513557999786e-03,5.659110000000000182e-03,-4.864420000000000455e-10,8.991719999999999921e-03,6.310650000000000114e-03,2.681069999999999807e-03,1.931478999999999835e-02,6.738090000000000399e-03,1.257669999999999969e-02
1.600000000000000089e+00,1.215972399999999907e-08,1.576240000000000029e-10,1.200209999999999932e-08,6.467144149999998887e-05,6.464429999999999363e-05,2.714149999999999856e-08,7.019399742000000239e-04,7.019209999999999903e-04,1.897419999999999927e-08,1.800656952320000073e-03,1.800649999999999994e-03,6.952320000000000245e-09,2.867829436000000117e-03,2.867830000000000032e-03,-5.640000000000000169e-10,3.811774697909999735e-03,3.811769999999999915e-03,4.697910000000000375e-09,4.418369496194999267e-03,4.418369999999999589e-03,-5.038049999999999989e-10,5.292030020255799293e-03,5.292029999999999651e-03,2.025579999999999857e-11,5.978249523073999629e-03,5.978250000000000057e-03,-4.769259999999999927e-10,9.371970000000000300e-03,6.678009999999999849e-03,2.693960000000000018e-03,1.968591999999999911e-02,7.152219999999999932e-03,1.253370000000000005e-02
1.700000000000000178e+00,1.075584900000000034e-08,1.414490000000000044e-10,1.061440000000000007e-08,6.450373909999999530e-05,6.447909999999999731e-05,2.463909999999999860e-08,7.043103315000000687e-04,7.042930000000000414e-04,1.733149999999999872e-08,1.829917017829999978e-03,1.829909999999999913e-03,7.017829999999999949e-09,2.973209444683000153e-03,2.973210000000000002e-03,-5.553169999999999757e-10,3.971394893960000262e-03,3.971389999999999990e-03,4.893960000000000334e-09,4.638609476989999716e-03,4.638609999999999609e-03,-5.230100000000000375e-10,5.554430030109499920e-03,5.554429999999999958e-03,3.010950000000000211e-11,6.280619542272999380e-03,6.280619999999999779e-03,-4.577270000000000056e-10,9.730729999999999935e-03,7.041060000000000027e-03,2.689669999999999908e-03,2.007205999999999921e-02,7.538360000000000026e-03,1.253370000000000005e-02
1.800000000000000044e+00,-4.068097999999999407e-09,1.266219999999999894e-10,-4.194719999999999759e-09,6.492746979999999260e-05,6.490279999999999801e-05,2.466980000000000098e-08,7.073585046000000756e-04,7.073430000000000342e-04,1.550460000000000041e-08,1.848417063380000018e-03,1.848409999999999984e-03,7.063379999999999653e-09,3.063969449525000277e-03,3.063970000000000062e-03,-5.504750000000000042e-10,4.131025116110000062e-03,4.131020000000000005e-03,5.116109999999999614e-09,4.830889461959000236e-03,4.830890000000000011e-03,-5.380410000000000448e-10,5.819830046643599368e-03,5.819829999999999795e-03,4.664359999999999726e-11,6.595889561805999904e-03,6.595890000000000086e-03,-4.381939999999999966e-10,1.004219999999999939e-02,7.383469999999999617e-03,2.658730000000000208e-03,2.052700999999999831e-02,7.933110000000000162e-03,1.259389999999999989e-02
1.900000000000000133e+00,3.313580900000000170e-08,-1.122910000000000029e-10,3.324809999999999978e-08,6.525292270000000142e-05,6.522899999999999499e-05,2.392269999999999888e-08,7.104914351000000267e-04,7.104770000000000486e-04,1.443510000000000033e-08,1.868647085389999948e-03,1.868639999999999971e-03,7.085389999999999662e-09,3.137089454033000022e-03,3.137089999999999931e-03,-5.459670000000000028e-10,4.279885275809999605e-03,4.279879999999999796e-03,5.275810000000000210e-09,5.042099442419999480e-03,5.042099999999999881e-03,-5.575799999999999502e-10,6.065460062509800236e-03,6.065459999999999949e-03,6.250980000000000007e-11,6.887929581839999892e-03,6.887929999999999574e-03,-4.181599999999999808e-10,1.041297000000000056e-02,7.725019999999999977e-03,2.687950000000000148e-03,2.089550999999999908e-02,8.310210000000000166e-03,1.258530000000000065e-02
