# sweep_type: output
# time: 1675954872.2891295
# time_str: 09/02/2023 10:01
# t_int: 1.6666666666666667e-05
# delay: 0.0001
# pulsed: False
# Drain voltage [V],Source current (Vg = 4) [A],Drain current (Vg = 4) [A],Gate current (Vg = 4) [A],Source current (Vg = 5) [A],Drain current (Vg = 5) [A],Gate current (Vg = 5) [A]
6.600000000000000533e+00,1.128102000000000082e-09,6.834159999999999693e-10,4.446860000000000089e-10,1.149828000000000137e-09,6.022120000000000500e-10,5.476159999999999833e-10
6.700000000000000178e+00,1.153209000000000086e-09,7.090240000000000323e-10,4.441850000000000021e-10,1.176958000000000021e-09,6.300099999999999782e-10,5.469480000000000431e-10
6.800000000000000711e+00,1.182000999999999959e-09,7.358109999999999730e-10,4.461899999999999864e-10,1.205081999999999954e-09,6.567970000000000223e-10,5.482850000000000355e-10
6.900000000000000355e+00,1.210800999999999901e-09,7.634410000000000109e-10,4.473599999999999937e-10,1.230523000000000136e-09,6.824049999999999818e-10,5.481180000000000505e-10
7.000000000000000000e+00,1.234890999999999970e-09,7.873639999999999913e-10,4.475269999999999788e-10,1.258135000000000019e-09,7.078450000000000511e-10,5.502899999999999681e-10
7.100000000000000533e+00,1.262510999999999922e-09,8.138150000000000481e-10,4.486959999999999775e-10,1.283737000000000031e-09,7.327790000000000190e-10,5.509580000000000117e-10
7.200000000000000178e+00,1.288286000000000074e-09,8.394219999999999991e-10,4.488640000000000229e-10,1.312026999999999940e-09,7.593979999999999661e-10,5.526289999999999742e-10
7.300000000000000711e+00,1.314888999999999883e-09,8.640199999999999797e-10,4.508690000000000071e-10,1.338311000000000012e-09,7.860160000000000080e-10,5.522950000000000041e-10
7.400000000000000355e+00,1.340662000000000018e-09,8.894590000000000404e-10,4.512029999999999772e-10,1.366755999999999907e-09,8.111189999999999780e-10,5.556370000000000325e-10
7.500000000000000000e+00,1.367101999999999980e-09,9.147300000000000042e-10,4.523719999999999760e-10,1.392863000000000011e-09,8.365580000000000388e-10,5.563049999999999727e-10
7.600000000000000533e+00,1.393382999999999923e-09,9.408429999999999532e-10,4.525400000000000213e-10,1.418465999999999928e-09,8.614920000000000066e-10,5.569740000000000249e-10
7.700000000000000178e+00,1.420155000000000045e-09,9.657770000000000244e-10,4.543780000000000206e-10,1.439373999999999997e-09,8.845730000000000017e-10,5.548009999999999952e-10
7.800000000000000711e+00,1.442065000000000024e-09,9.886900000000000259e-10,4.533749999999999983e-10,1.464127999999999972e-09,9.078229999999999990e-10,5.563049999999999727e-10
7.900000000000000355e+00,7.218219999999999089e-10,2.669429999999999849e-10,4.548789999999999757e-10,1.487042000000000085e-09,9.309039999999999940e-10,5.561379999999999876e-10
8.000000000000000000e+00,4.800416000000000228e-10,4.220659999999999749e-11,4.378350000000000189e-10,1.511801999999999904e-09,9.549949999999999680e-10,5.568070000000000398e-10
8.099999999999999645e+00,5.031785000000000528e-10,7.202650000000000455e-11,4.311520000000000224e-10,1.533371999999999862e-09,9.772339999999999777e-10,5.561379999999999876e-10
8.200000000000001066e+00,5.321509999999999752e-10,1.004979999999999977e-10,4.316529999999999775e-10,8.901119999999999554e-10,3.318019999999999984e-10,5.583100000000000087e-10
8.300000000000000711e+00,5.616299999999999517e-10,1.294759999999999932e-10,4.321539999999999844e-10,5.865031999999999770e-10,4.490219999999999824e-11,5.416009999999999788e-10
8.400000000000000355e+00,5.931270000000000757e-10,1.601380000000000109e-10,4.329890000000000130e-10,6.123085999999999963e-10,7.421660000000000508e-11,5.380919999999999654e-10
8.500000000000000000e+00,6.202510000000000122e-10,1.872619999999999992e-10,4.329890000000000130e-10,6.407780000000000179e-10,1.023520000000000049e-10,5.384260000000000389e-10
8.599999999999999645e+00,6.490490000000000404e-10,2.147230000000000091e-10,4.343260000000000054e-10,6.695819999999999942e-10,1.306550000000000001e-10,5.389269999999999940e-10
8.700000000000001066e+00,6.760110000000000347e-10,2.423530000000000212e-10,4.336580000000000135e-10,6.978919999999999719e-10,1.596329999999999956e-10,5.382589999999999504e-10
8.800000000000000711e+00,7.056549999999999791e-10,2.711619999999999886e-10,4.344929999999999905e-10,7.305409999999999488e-10,1.881049999999999930e-10,5.424360000000000074e-10
8.900000000000000355e+00,7.342799999999999707e-10,2.977809999999999874e-10,4.364989999999999833e-10,7.586709999999999333e-10,2.155660000000000030e-10,5.431049999999999562e-10
9.000000000000000000e+00,7.617410000000000065e-10,3.254100000000000168e-10,4.363309999999999897e-10,7.891569999999999664e-10,2.452169999999999815e-10,5.439399999999999849e-10
9.099999999999999645e+00,7.890339999999999452e-10,3.525350000000000136e-10,4.364989999999999833e-10,8.152820000000000184e-10,2.726780000000000173e-10,5.426040000000000011e-10
9.200000000000001066e+00,8.181630000000000211e-10,3.796590000000000018e-10,4.385040000000000193e-10,8.474379999999999019e-10,3.021609999999999764e-10,5.452769999999999773e-10
9.300000000000000711e+00,8.459660000000000956e-10,4.081310000000000251e-10,4.378350000000000189e-10,8.742210000000000151e-10,3.284429999999999793e-10,5.457780000000000358e-10
9.400000000000000355e+00,8.759249999999999505e-10,4.345810000000000216e-10,4.413439999999999806e-10,9.030180000000000347e-10,3.557360000000000214e-10,5.472820000000000132e-10
9.500000000000000000e+00,9.047339999999999696e-10,4.633899999999999890e-10,4.413439999999999806e-10,9.306420000000000212e-10,3.826910000000000074e-10,5.479509999999999620e-10
9.600000000000001421e+00,9.303430000000000411e-10,4.891660000000000456e-10,4.411769999999999955e-10,9.584299999999999670e-10,4.093100000000000062e-10,5.491199999999999608e-10
9.700000000000001066e+00,9.581280000000000646e-10,5.152800000000000032e-10,4.428480000000000097e-10,9.857150000000000439e-10,4.355920000000000091e-10,5.501229999999999831e-10
9.800000000000000711e+00,9.854149999999999519e-10,5.418989999999999502e-10,4.435160000000000016e-10,1.012513999999999881e-09,4.638949999999999785e-10,5.486190000000000056e-10
9.900000000000000355e+00,1.013707000000000085e-09,5.688539999999999880e-10,4.448529999999999940e-10,1.041301000000000021e-09,4.900090000000000395e-10,5.512919999999999818e-10
1.000000000000000000e+01,1.040492000000000009e-09,5.953050000000000448e-10,4.451870000000000158e-10,1.067413999999999970e-09,5.161219999999999885e-10,5.512919999999999818e-10
