# sweep_type: output
# time: 1675699413.7879877
# time_str: 06/02/2023 11:03
# t_int: 0.001
# delay: -1
# pulsed: False
# Drain voltage [V],Source current (Vg = 4.0) [A],Drain current (Vg = 4.0) [A],Gate current (Vg = 4.0) [A],Source current (Vg = 5.0) [A],Drain current (Vg = 5.0) [A],Gate current (Vg = 5.0) [A],Source current (Vg = 6.0) [A],Drain current (Vg = 6.0) [A],Gate current (Vg = 6.0) [A],Source current (Vg = 7.0) [A],Drain current (Vg = 7.0) [A],Gate current (Vg = 7.0) [A],Source current (Vg = 8.0) [A],Drain current (Vg = 8.0) [A],Gate current (Vg = 8.0) [A],Source current (Vg = 9.0) [A],Drain current (Vg = 9.0) [A],Gate current (Vg = 9.0) [A],Source current (Vg = 10.0) [A],Drain current (Vg = 10.0) [A],Gate current (Vg = 10.0) [A]
8.500000000000000000e+00,5.728529600000000638e-04,2.400960000000000133e-06,5.704520000000000467e-04,6.248954999999999397e-04,5.163150000000000194e-05,5.732639999999999784e-04,7.304219999999999940e-04,1.508550000000000049e-04,5.795670000000000162e-04,8.451089999999999210e-04,2.597599999999999931e-04,5.853489999999999822e-04,9.689419999999999804e-04,3.774119999999999840e-04,5.915300000000000506e-04,1.024149999999999930e-03,4.245699999999999821e-04,5.995799999999999481e-04,1.042004000000000020e-03,4.226999999999999746e-04,6.193039999999999917e-04
8.599999999999999645e+00,5.733818999999999591e-04,2.499899999999999985e-06,5.708819999999999867e-04,6.264409000000000080e-04,5.282690000000000069e-05,5.736139999999999598e-04,7.311369999999999762e-04,1.521270000000000022e-04,5.790100000000000281e-04,8.462710000000000024e-04,2.611539999999999868e-04,5.851170000000000156e-04,9.707399999999999926e-04,3.791929999999999997e-04,5.915469999999999930e-04,1.039910999999999917e-03,4.392819999999999863e-04,6.006289999999999850e-04,1.047231000000000030e-03,4.356639999999999948e-04,6.115670000000000351e-04
8.700000000000001066e+00,5.758363799999999255e-04,3.061379999999999902e-06,5.727749999999999769e-04,6.258064999999999722e-04,5.330549999999999980e-05,5.725009999999999995e-04,7.320259999999999875e-04,1.531009999999999966e-04,5.789249999999999908e-04,8.471069999999999382e-04,2.617990000000000052e-04,5.853079999999999871e-04,9.716530000000000566e-04,3.801039999999999779e-04,5.915490000000000245e-04,1.055984999999999953e-03,4.545449999999999924e-04,6.014399999999999608e-04,1.054198000000000114e-03,4.485959999999999991e-04,6.056020000000000066e-04
8.800000000000000711e+00,5.742347500000000030e-04,2.840749999999999864e-06,5.713940000000000251e-04,6.267423000000000048e-04,5.416729999999999890e-05,5.725749999999999720e-04,7.322669999999999874e-04,1.537060000000000086e-04,5.785610000000000058e-04,8.482089999999999422e-04,2.624339999999999746e-04,5.857749999999999676e-04,9.730769999999999264e-04,3.810689999999999932e-04,5.920079999999999874e-04,1.071167000000000039e-03,4.700859999999999848e-04,6.010809999999999461e-04,1.064566000000000080e-03,4.615159999999999770e-04,6.030500000000000487e-04
8.900000000000000355e+00,5.748371000000000600e-04,2.856100000000000065e-06,5.719810000000000519e-04,6.283064000000000530e-04,5.512739999999999671e-05,5.731790000000000496e-04,7.356169999999999333e-04,1.559289999999999906e-04,5.796879999999999698e-04,8.490519999999999881e-04,2.635219999999999750e-04,5.855300000000000131e-04,9.753189999999999906e-04,3.822170000000000168e-04,5.931019999999999738e-04,1.084336999999999888e-03,4.874330000000000069e-04,5.969039999999999893e-04,1.077335999999999919e-03,4.745109999999999975e-04,6.028249999999999754e-04
9.000000000000000000e+00,5.754684399999999631e-04,2.973440000000000029e-06,5.724950000000000134e-04,6.278524999999999861e-04,5.502349999999999928e-05,5.728289999999999597e-04,7.356510000000000349e-04,1.552079999999999953e-04,5.804430000000000396e-04,8.496349999999999519e-04,2.644529999999999971e-04,5.851819999999999548e-04,9.774169999999999560e-04,3.830050000000000099e-04,5.944120000000000003e-04,1.095065000000000101e-03,4.979900000000000212e-04,5.970749999999999712e-04,1.090295000000000023e-03,4.874720000000000246e-04,6.028230000000000524e-04
9.099999999999999645e+00,5.727620100000000575e-04,2.648010000000000165e-06,5.701140000000000374e-04,6.291223999999999992e-04,5.575940000000000014e-05,5.733630000000000193e-04,7.385799999999999657e-04,1.582800000000000092e-04,5.802999999999999565e-04,8.512299999999999121e-04,2.662669999999999902e-04,5.849629999999999760e-04,9.779540000000000628e-04,3.835870000000000122e-04,5.943670000000000507e-04,1.097085999999999938e-03,4.985569999999999499e-04,5.985289999999999881e-04,1.103423999999999985e-03,5.005279999999999755e-04,6.028960000000000092e-04
9.200000000000001066e+00,5.743692200000000180e-04,3.335219999999999977e-06,5.710339999999999947e-04,6.301626999999999966e-04,5.754270000000000050e-05,5.726200000000000300e-04,7.398450000000000425e-04,1.591060000000000044e-04,5.807390000000000382e-04,8.522910000000000295e-04,2.663480000000000188e-04,5.859430000000000107e-04,9.792410000000000524e-04,3.841180000000000245e-04,5.951230000000000278e-04,1.102237999999999959e-03,5.017889999999999894e-04,6.004489999999999697e-04,1.116579999999999830e-03,5.135639999999999910e-04,6.030159999999999470e-04
9.300000000000000711e+00,4.991410000000000378e-04,1.898910000000000018e-04,3.092500000000000088e-04,6.320432000000000610e-04,5.818320000000000225e-05,5.738600000000000385e-04,7.394469999999999559e-04,1.592019999999999980e-04,5.802449999999999579e-04,8.552230000000000075e-04,2.681660000000000207e-04,5.870569999999999868e-04,9.796629999999999748e-04,3.849720000000000268e-04,5.946909999999999480e-04,1.104217000000000002e-03,5.034520000000000444e-04,6.007649999999999579e-04,1.130074999999999916e-03,5.267709999999999884e-04,6.033040000000000364e-04
9.400000000000000355e+00,3.578989999999999559e-04,2.084289999999999927e-04,1.494699999999999902e-04,6.296246000000000568e-04,5.677760000000000337e-05,5.728470000000000263e-04,7.392289999999999929e-04,1.604060000000000089e-04,5.788230000000000111e-04,8.561270000000000381e-04,2.689100000000000257e-04,5.872170000000000124e-04,9.780610000000001213e-04,3.857059999999999829e-04,5.923550000000000300e-04,1.106320999999999954e-03,5.046220000000000349e-04,6.016990000000000272e-04,1.147289000000000121e-03,5.413100000000000333e-04,6.059789999999999795e-04
