# sweep_type: output
# time: 1675699351.9855208
# time_str: 06/02/2023 11:02
# t_int: 0.001
# delay: -1
# pulsed: False
# Drain voltage [V]	Source current (Vg = 4.0) [A]	Drain current (Vg = 4.0) [A]	Gate current (Vg = 4.0) [A]	Source current (Vg = 5.0) [A]	Drain current (Vg = 5.0) [A]	Gate current (Vg = 5.0) [A]	Source current (Vg = 6.0) [A]	Drain current (Vg = 6.0) [A]	Gate current (Vg = 6.0) [A]	Source current (Vg = 7.0) [A]	Drain current (Vg = 7.0) [A]	Gate current (Vg = 7.0) [A]	Source current (Vg = 8.0) [A]	Drain current (Vg = 8.0) [A]	Gate current (Vg = 8.0) [A]	Source current (Vg = 9.0) [A]	Drain current (Vg = 9.0) [A]	Gate current (Vg = 9.0) [A]	Source current (Vg = 10.0) [A]	Drain current (Vg = 10.0) [A]	Gate current (Vg = 10.0) [A]
2.100000000000000089e+00	5.629135999999999428e-04	-3.424440000000000031e-05	5.971579999999999770e-04	7.071910000000000262e-04	-2.523229999999999896e-04	9.595139999999999616e-04	7.901749999999999486e-04	-2.542250000000000130e-04	1.044400000000000016e-03	8.807260000000000782e-04	-2.528340000000000123e-04	1.133560000000000036e-03	9.699759999999999979e-04	-2.544240000000000021e-04	1.224400000000000054e-03	1.068564000000000146e-03	-2.544159999999999846e-04	1.322980000000000076e-03	1.157411000000000117e-03	-2.538290000000000121e-04	1.411240000000000020e-03
2.200000000000000178e+00	5.640438000000000222e-04	-1.802119999999999951e-05	5.820649999999999913e-04	7.003549999999999446e-04	-2.364730000000000109e-04	9.368280000000000097e-04	7.817870000000001502e-04	-2.374429999999999965e-04	1.019230000000000093e-03	8.723430000000000333e-04	-2.369670000000000099e-04	1.109310000000000070e-03	9.614279999999999571e-04	-2.375819999999999896e-04	1.199009999999999920e-03	1.060972999999999994e-03	-2.385669999999999946e-04	1.299540000000000070e-03	1.146981999999999949e-03	-2.369480000000000089e-04	1.383930000000000013e-03
2.300000000000000266e+00	5.640153300000000499e-04	-6.167669999999999853e-06	5.701830000000000396e-04	6.930280000000000468e-04	-2.205470000000000011e-04	9.135750000000000207e-04	7.760930000000000519e-04	-2.205650000000000134e-04	9.966580000000000925e-04	8.644780000000000129e-04	-2.210319999999999939e-04	1.085510000000000034e-03	9.518359999999999582e-04	-2.206940000000000117e-04	1.172529999999999970e-03	1.049875000000000027e-03	-2.224750000000000002e-04	1.272350000000000000e-03	1.138796000000000079e-03	-2.203039999999999968e-04	1.359100000000000022e-03
2.400000000000000355e+00	5.667881659999999145e-04	-2.158339999999999989e-07	5.670039999999999672e-04	6.863950000000000173e-04	-2.047490000000000009e-04	8.911439999999999639e-04	7.648639999999999736e-04	-2.033050000000000059e-04	9.681689999999999524e-04	8.571359999999999873e-04	-2.052640000000000053e-04	1.062400000000000020e-03	9.417070000000000692e-04	-2.038929999999999942e-04	1.145600000000000090e-03	1.038060000000000154e-03	-2.061599999999999913e-04	1.244220000000000092e-03	1.130324000000000042e-03	-2.039959999999999896e-04	1.334319999999999951e-03
2.500000000000000000e+00	5.675041298400000048e-04	-9.870159999999999756e-09	5.675139999999999742e-04	6.789590000000000295e-04	-1.889369999999999971e-04	8.678960000000000537e-04	7.569340000000000139e-04	-1.867589999999999919e-04	9.436930000000000058e-04	8.469199999999999211e-04	-1.892700000000000090e-04	1.036189999999999984e-03	9.333750000000000683e-04	-1.872149999999999888e-04	1.120590000000000084e-03	1.027958000000000040e-03	-1.896920000000000127e-04	1.217650000000000026e-03	1.122343000000000039e-03	-1.878070000000000130e-04	1.310149999999999943e-03
2.600000000000000089e+00	5.291715000000001088e-04	-3.786549999999999855e-05	5.670370000000000531e-04	6.697420000000000803e-04	-1.729570000000000044e-04	8.426990000000000305e-04	7.491700000000000659e-04	-1.705830000000000031e-04	9.197530000000000419e-04	8.362440000000000932e-04	-1.730559999999999911e-04	1.009300000000000084e-03	9.249799999999999429e-04	-1.709799999999999927e-04	1.095959999999999990e-03	1.017990000000000084e-03	-1.730699999999999947e-04	1.191060000000000079e-03	1.116034999999999814e-03	-1.719950000000000092e-04	1.288029999999999904e-03
2.700000000000000178e+00	5.650823999999999821e-04	-2.190360000000000150e-05	5.869859999999999531e-04	6.609440000000000063e-04	-1.567460000000000066e-04	8.176900000000000401e-04	7.419030000000000286e-04	-1.545119999999999870e-04	8.964150000000000156e-04	8.305190000000000489e-04	-1.567189999999999881e-04	9.872380000000000912e-04	9.168150000000000778e-04	-1.548449999999999989e-04	1.071660000000000104e-03	1.009179000000000022e-03	-1.563210000000000099e-04	1.165500000000000086e-03	1.107340999999999968e-03	-1.561889999999999915e-04	1.263529999999999905e-03
2.800000000000000266e+00	5.656853200000000383e-04	-9.171679999999999235e-06	5.748570000000000155e-04	6.526970000000000428e-04	-1.404570000000000005e-04	7.931540000000000161e-04	7.359680000000000388e-04	-1.387829999999999891e-04	8.747510000000000008e-04	8.177659999999999357e-04	-1.396900000000000127e-04	9.574559999999999755e-04	9.102389999999999700e-04	-1.390610000000000023e-04	1.049299999999999972e-03	9.999799999999999228e-04	-1.397199999999999972e-04	1.139700000000000001e-03	1.099427000000000043e-03	-1.404629999999999865e-04	1.239890000000000003e-03
2.900000000000000355e+00	5.660105369999999516e-04	-5.204629999999999668e-07	5.665310000000000007e-04	6.442280000000000532e-04	-1.239509999999999928e-04	7.681790000000000189e-04	7.286759999999999331e-04	-1.231989999999999973e-04	8.518749999999999847e-04	8.093300000000000320e-04	-1.231469999999999917e-04	9.324770000000000237e-04	9.024059999999999113e-04	-1.234239999999999892e-04	1.025829999999999928e-03	9.901499999999999711e-04	-1.230600000000000042e-04	1.113209999999999894e-03	1.091717999999999985e-03	-1.248020000000000021e-04	1.216520000000000015e-03
3.000000000000000000e+00	5.678135509000000088e-04	-4.644910000000000000e-08	5.678600000000000010e-04	6.355830000000001114e-04	-1.075539999999999938e-04	7.431370000000000510e-04	7.215729999999999844e-04	-1.076899999999999938e-04	8.292630000000000053e-04	8.009910000000000294e-04	-1.066940000000000054e-04	9.076849999999999806e-04	8.941590000000000562e-04	-1.078810000000000061e-04	1.002040000000000049e-03	9.810680000000000876e-04	-1.066719999999999978e-04	1.087740000000000018e-03	1.079775000000000049e-03	-1.090550000000000053e-04	1.188830000000000095e-03
3.100000000000000089e+00	5.680115615799999438e-04	1.561580000000000102e-09	5.680099999999999776e-04	6.272943000000000225e-04	-9.074669999999999633e-05	7.180409999999999918e-04	7.136163000000000272e-04	-9.279369999999999893e-05	8.064100000000000261e-04	7.927412000000000868e-04	-9.060580000000000587e-05	8.833470000000000384e-04	8.835708000000000277e-04	-9.296819999999999531e-05	9.765390000000000095e-04	9.724428000000000672e-04	-9.090720000000000267e-05	1.063350000000000016e-03	1.068139600000000055e-03	-9.296040000000000531e-05	1.161099999999999979e-03
3.200000000000000178e+00	5.640178127999999303e-04	-5.187199999999999624e-09	5.640229999999999766e-04	6.180075000000000152e-04	-7.484949999999999546e-05	6.928569999999999564e-04	7.035913999999999667e-04	-7.698760000000000130e-05	7.805789999999999951e-04	7.858109999999999748e-04	-7.501600000000000141e-05	8.608269999999999898e-04	8.729147000000000468e-04	-7.714130000000000628e-05	9.500560000000000125e-04	9.673252000000000673e-04	-7.549479999999999418e-05	1.042820000000000075e-03	1.057225500000000132e-03	-7.662449999999999795e-05	1.133850000000000049e-03
3.300000000000000266e+00	5.625881010599999288e-04	5.101059999999999754e-09	5.625829999999999633e-04	6.097915000000001060e-04	-5.941850000000000040e-05	6.692100000000000522e-04	6.958381000000000895e-04	-6.122189999999999739e-05	7.570600000000000463e-04	7.799832000000000033e-04	-5.991380000000000224e-05	8.398970000000000394e-04	8.637919000000000196e-04	-6.137210000000000148e-05	9.251640000000000211e-04	9.592332999999999762e-04	-6.037670000000000081e-05	1.019610000000000004e-03	1.048463799999999968e-03	-6.054619999999999978e-05	1.109009999999999900e-03
3.400000000000000355e+00	5.638021319000000031e-04	-4.868099999999999764e-09	5.638070000000000451e-04	6.024587999999999992e-04	-4.439920000000000005e-05	6.468580000000000467e-04	6.881233999999999311e-04	-4.547860000000000194e-05	7.336019999999999737e-04	7.725475999999999351e-04	-4.506339999999999955e-05	8.176109999999999888e-04	8.549887000000000155e-04	-4.556230000000000252e-05	9.005509999999999774e-04	9.512238000000000117e-04	-4.544019999999999906e-05	9.966639999999999701e-04	1.038896700000000112e-03	-4.467329999999999798e-05	1.083570000000000063e-03
3.500000000000000000e+00	5.667902187800000430e-04	4.218779999999999777e-09	5.667860000000000042e-04	5.959539000000000676e-04	-3.010709999999999843e-05	6.260610000000000220e-04	6.804188999999999984e-04	-3.025010000000000028e-05	7.106690000000000359e-04	7.655958999999999725e-04	-3.069609999999999906e-05	7.962919999999999851e-04	8.463478999999999881e-04	-3.024910000000000148e-05	8.765970000000000099e-04	9.396666999999999390e-04	-3.135530000000000115e-05	9.710219999999999876e-04	1.028772000000000063e-03	-2.932800000000000110e-05	1.058099999999999969e-03
3.600000000000000089e+00	5.650493137900000368e-04	-3.686209999999999826e-09	5.650530000000000396e-04	5.883554999999999948e-04	-1.660849999999999862e-05	6.049640000000000442e-04	6.725283999999999559e-04	-1.588660000000000134e-05	6.884149999999999471e-04	7.578730999999999792e-04	-1.709290000000000028e-05	7.749659999999999795e-04	8.377315999999999669e-04	-1.583939999999999949e-05	8.535710000000000172e-04	9.288882999999999949e-04	-1.718470000000000167e-05	9.460729999999999661e-04	1.020603900000000008e-03	-1.519610000000000008e-05	1.035799999999999915e-03
3.700000000000000178e+00	5.688422234200000158e-04	-9.776580000000000582e-09	5.688520000000000078e-04	5.786833299999999576e-04	-8.482670000000000558e-06	5.871659999999999683e-04	6.629170800000000691e-04	-5.891919999999999994e-06	6.688090000000000267e-04	7.455852600000000430e-04	-7.953739999999999169e-06	7.535390000000000100e-04	8.277070899999999743e-04	-5.665910000000000103e-06	8.333729999999999914e-04	9.176069800000000512e-04	-7.097019999999999688e-06	9.247040000000000424e-04	1.009849610000000111e-03	-6.070389999999999659e-06	1.015920000000000017e-03
