# sweep_type: output
# time: 1675794444.9321156
# time_str: 07/02/2023 13:27
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 1) [A],Drain current (Vg = 1) [A],Gate current (Vg = 1) [A]
2.800000000000000266e+00,6.632377459999999527e-05,6.631099999999999581e-05,1.277460000000000012e-08
2.900000000000000355e+00,6.609480019999999258e-05,6.608199999999999513e-05,1.280019999999999970e-08
3.000000000000000000e+00,6.641573080000000339e-05,6.640419999999999689e-05,1.153079999999999993e-08
3.100000000000000089e+00,6.656019699999999857e-05,6.654840000000000137e-05,1.179699999999999969e-08
3.200000000000000178e+00,6.699647449999999484e-05,6.698499999999999648e-05,1.147449999999999962e-08
3.300000000000000266e+00,6.661789489999999931e-05,6.660770000000000265e-05,1.019489999999999919e-08
3.400000000000000355e+00,6.654562599999999976e-05,6.653560000000000041e-05,1.002599999999999991e-08
3.500000000000000000e+00,6.753824810000000627e-05,6.752770000000000061e-05,1.054810000000000000e-08
3.600000000000000089e+00,6.693685498000000341e-05,6.692990000000000441e-05,6.954980000000000316e-09
3.700000000000000178e+00,6.714793221000000189e-05,6.714610000000000413e-05,1.832210000000000025e-09
3.800000000000000266e+00,6.671556395000000788e-05,6.671370000000000468e-05,1.863949999999999958e-09
3.900000000000000355e+00,6.774534775000000235e-05,6.774390000000000034e-05,1.447750000000000093e-09
4.000000000000000000e+00,6.718139621999999879e-05,6.718009999999999737e-05,1.296220000000000100e-09
4.100000000000000533e+00,6.760960901999999481e-05,6.760830000000000116e-05,1.309020000000000097e-09
4.200000000000000178e+00,6.732983820000000086e-05,6.732849999999999751e-05,1.338199999999999990e-09
4.299999999999999822e+00,6.817457829999999739e-05,6.811280000000000286e-05,6.177830000000000203e-08
4.400000000000000355e+00,6.758751280000000199e-05,6.752770000000000061e-05,5.981279999999999677e-08
4.500000000000000000e+00,6.838365300000000539e-05,6.832469999999999993e-05,5.895299999999999856e-08
4.600000000000000533e+00,6.788833659999999996e-05,6.783290000000000576e-05,5.543660000000000024e-08
4.700000000000000178e+00,6.784014989999999292e-05,6.778629999999999844e-05,5.384989999999999703e-08
4.800000000000000711e+00,6.755767520000000015e-05,6.750229999999999913e-05,5.537520000000000209e-08
4.900000000000000355e+00,6.875383600000000415e-05,6.870210000000000075e-05,5.173600000000000084e-08
5.000000000000000000e+00,6.858724340000001043e-05,6.853670000000000400e-05,5.054339999999999981e-08
5.100000000000000533e+00,6.914700720000000291e-05,6.909629999999999776e-05,5.070720000000000291e-08
5.200000000000000178e+00,6.923528309999999603e-05,6.918539999999999662e-05,4.988310000000000282e-08
5.300000000000000711e+00,6.802429590000000272e-05,6.797709999999999668e-05,4.719590000000000243e-08
5.400000000000000355e+00,6.948737200000001176e-05,6.943970000000000535e-05,4.767199999999999833e-08
5.500000000000000000e+00,6.921478720000000110e-05,6.916840000000000000e-05,4.638720000000000128e-08
5.600000000000000533e+00,6.892869379999999656e-05,6.888440000000000069e-05,4.429380000000000187e-08
5.700000000000000178e+00,6.875144859999999462e-05,6.870629999999999641e-05,4.514860000000000103e-08
5.800000000000000711e+00,6.866902130000000163e-05,6.862569999999999586e-05,4.332129999999999763e-08
5.900000000000000355e+00,6.952902010000001107e-05,6.948640000000000610e-05,4.262009999999999926e-08
6.000000000000000000e+00,6.944704320000000188e-05,6.940580000000000555e-05,4.124319999999999836e-08
6.100000000000000533e+00,6.844772559999999658e-05,6.840530000000000048e-05,4.242559999999999709e-08
6.200000000000000178e+00,6.930492180000000484e-05,6.926590000000000373e-05,3.902179999999999940e-08
6.300000000000000711e+00,6.941943210000000740e-05,6.938040000000000407e-05,3.903210000000000049e-08
6.400000000000000355e+00,7.007205060000000919e-05,7.003330000000000590e-05,3.875059999999999893e-08
6.500000000000000000e+00,6.917527519999999632e-05,6.913869999999999586e-05,3.657519999999999918e-08
6.600000000000000533e+00,7.011104170000000016e-05,7.007570000000000400e-05,3.534169999999999677e-08
6.700000000000000178e+00,7.064658509999999941e-05,7.060980000000000284e-05,3.678510000000000029e-08
6.800000000000000711e+00,7.048702629999999711e-05,7.045299999999999783e-05,3.402629999999999943e-08
6.900000000000000355e+00,6.998557970000000004e-05,6.995270000000000535e-05,3.287969999999999762e-08
7.000000000000000000e+00,6.952896449999999742e-05,6.949479999999999742e-05,3.416450000000000129e-08
