,VoltIn,VpwrIn000,CurrOut001,VpwrIn001,CurrOut002,VpwrIn002,CurrOut003,VpwrIn003,CurrOut004,VpwrIn004,CurrOut005,VpwrIn005,CurrOut006,VpwrIn006,CurrOut007,VpwrIn007,CurrOut008
41,4.1996,3.0,0.0167,4.0,0.16119999999999998,5.0,0.37120000000000003,6.0,0.4041,7.0,0.41819999999999996,8.0,0.4293,9.0,0.44129999999999997,10.0,0.4563
42,4.29945,3.0,0.0167,4.0,0.1613,5.0,0.3809,6.0,0.4164,7.0,0.4312,8.0,0.44279999999999997,9.0,0.4551,10.0,0.4706
43,4.39961,3.0,0.0168,4.0,0.1614,5.0,0.3904,6.0,0.4289,7.0,0.4444,8.0,0.4563,9.0,0.46900000000000003,10.0,0.48500000000000004
44,4.49937,3.0,0.0168,4.0,0.1616,5.0,0.3995,6.0,0.4412,7.0,0.45740000000000003,8.0,0.4698,9.0,0.4829,10.0,0.4993
45,4.5996,3.0,0.0168,4.0,0.1617,5.0,0.4082,6.0,0.4536,7.0,0.4705,8.0,0.4833,9.0,0.4968,10.0,0.5136999999999999
46,4.69972,3.0,0.0168,4.0,0.1618,5.0,0.4163,6.0,0.4659,7.0,0.4836,8.0,0.4969,9.0,0.5107999999999999,10.0,0.5282
47,4.7996,3.0,0.0168,4.0,0.162,5.0,0.4239,6.0,0.4783,7.0,0.4967,8.0,0.5103,9.0,0.5246,10.0,0.5425
48,4.89977,3.0,0.0168,4.0,0.16210000000000002,5.0,0.4307,6.0,0.4906,7.0,0.5098,8.0,0.5239,9.0,0.5386,10.0,0.5569999999999999
49,4.99955,3.0,0.0168,4.0,0.1623,5.0,0.4367,6.0,0.5028,7.0,0.5228999999999999,8.0,0.5375,9.0,0.5525,10.0,0.5712999999999999
50,5.09965,3.0,0.0168,4.0,0.1623,5.0,0.4419,6.0,0.5151,7.0,0.536,8.0,0.5509999999999999,9.0,0.5664999999999999,10.0,0.5858
