# sweep_type: output
# time: 1675794957.4602416
# time_str: 07/02/2023 13:35
# t_int: 1.6666666666666667e-05
# delay: 0.0001
# pulsed: False
# Drain voltage [V],Source current (Vg = 4) [A],Drain current (Vg = 4) [A],Gate current (Vg = 4) [A],Source current (Vg = 5) [A],Drain current (Vg = 5) [A],Gate current (Vg = 5) [A]
1.900000000000000133e+00,3.154555273469999976e-03,3.154549999999999889e-03,5.273470000000000402e-09,4.286525653000000657e-03,4.286520000000000261e-03,5.653000000000000228e-09
2.000000000000000000e+00,3.225165020450000090e-03,3.225159999999999919e-03,5.020449999999999967e-09,4.429475504469999186e-03,4.429469999999999588e-03,5.504470000000000121e-09
2.100000000000000089e+00,3.288464721849999970e-03,3.288459999999999994e-03,4.721850000000000191e-09,4.555205248889999427e-03,4.555199999999999701e-03,5.248890000000000059e-09
2.200000000000000178e+00,3.344434438609999744e-03,3.344429999999999799e-03,4.438609999999999834e-09,4.677914993310000255e-03,4.677910000000000401e-03,4.993309999999999996e-09
2.300000000000000266e+00,3.393094150769999928e-03,3.393090000000000082e-03,4.150769999999999719e-09,4.785564699830000338e-03,4.785560000000000334e-03,4.699830000000000303e-09
2.400000000000000355e+00,3.427533845509999656e-03,3.427529999999999813e-03,3.845510000000000300e-09,4.888034412489999925e-03,4.888029999999999806e-03,4.412489999999999928e-09
2.500000000000000000e+00,3.461553537169999913e-03,3.461549999999999870e-03,3.537170000000000101e-09,4.976734092890000398e-03,4.976730000000000390e-03,4.092890000000000329e-09
2.600000000000000089e+00,3.490403258539999734e-03,3.490399999999999840e-03,3.258540000000000206e-09,5.061123825530000099e-03,5.061119999999999682e-03,3.825529999999999713e-09
2.700000000000000178e+00,3.509342944060000243e-03,3.509340000000000116e-03,2.944059999999999861e-09,5.143793537169999257e-03,5.143789999999999647e-03,3.537170000000000101e-09
2.800000000000000266e+00,3.511492609099999777e-03,3.511489999999999924e-03,2.609100000000000017e-09,5.204933242149999834e-03,5.204929999999999973e-03,3.242150000000000018e-09
2.900000000000000355e+00,3.533022360169999973e-03,3.533019999999999997e-03,2.360170000000000133e-09,5.261342932280000176e-03,5.261339999999999767e-03,2.932280000000000135e-09
3.000000000000000000e+00,3.544652045180000065e-03,3.544649999999999884e-03,2.045180000000000169e-09,5.309562620879999632e-03,5.309559999999999627e-03,2.620880000000000156e-09
3.100000000000000089e+00,3.554551748629999983e-03,3.554550000000000071e-03,1.748629999999999989e-09,5.356062351469999781e-03,5.356060000000000161e-03,2.351469999999999946e-09
3.200000000000000178e+00,3.557571415710000101e-03,3.557569999999999916e-03,1.415710000000000067e-09,5.396112039550000211e-03,5.396109999999999969e-03,2.039550000000000055e-09
3.300000000000000266e+00,3.573501044379999870e-03,3.573499999999999854e-03,1.044380000000000068e-09,5.423661780900000673e-03,5.423660000000000286e-03,1.780899999999999920e-09
3.400000000000000355e+00,3.578660317838999912e-03,3.578660000000000001e-03,3.178390000000000023e-10,5.453801464880000255e-03,5.453799999999999967e-03,1.464880000000000012e-09
