# sweep_type: output
# time: 1675792457.5683117
# time_str: 07/02/2023 12:54
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 0.0) [A],Drain current (Vg = 0.0) [A],Gate current (Vg = 0.0) [A],Source current (Vg = 1.0) [A],Drain current (Vg = 1.0) [A],Gate current (Vg = 1.0) [A],Source current (Vg = 2.0) [A],Drain current (Vg = 2.0) [A],Gate current (Vg = 2.0) [A],Source current (Vg = 3.0) [A],Drain current (Vg = 3.0) [A],Gate current (Vg = 3.0) [A],Source current (Vg = 4.0) [A],Drain current (Vg = 4.0) [A],Gate current (Vg = 4.0) [A],Source current (Vg = 5.0) [A],Drain current (Vg = 5.0) [A],Gate current (Vg = 5.0) [A]
1.000000000000000000e+00,2.828682199999999995e-08,3.828219999999999939e-10,2.790399999999999959e-08,6.333527129999999192e-05,6.331899999999999465e-05,1.627130000000000026e-08,6.703874667999999573e-04,6.703669999999999464e-04,2.046679999999999968e-08,1.426950092564100011e-03,1.426949999999999963e-03,9.256410000000000299e-11,2.072270518451000201e-03,2.072270000000000188e-03,5.184510000000000122e-10,2.643226460109999836e-03,2.643219999999999945e-03,6.460109999999999936e-09
1.100000000000000089e+00,2.765881700000000094e-08,3.791170000000000051e-10,2.727970000000000042e-08,6.334188370000000564e-05,6.332750000000000651e-05,1.438370000000000028e-08,6.838131267000000131e-04,6.837920000000000153e-04,2.112670000000000150e-08,1.518600088556199858e-03,1.518599999999999941e-03,8.855620000000000590e-11,2.231030525632999965e-03,2.231030000000000166e-03,5.256329999999999984e-10,2.866126475460000021e-03,2.866120000000000213e-03,6.475460000000000301e-09
1.200000000000000178e+00,2.657776700000000000e-08,3.676670000000000085e-10,2.621009999999999989e-08,6.367858120000000175e-05,6.366630000000000401e-05,1.228120000000000015e-08,6.887686842999999953e-04,6.887469999999999704e-04,2.168430000000000049e-08,1.593030077200300026e-03,1.593030000000000054e-03,7.720029999999999448e-11,2.381620533649000081e-03,2.381620000000000091e-03,5.336490000000000046e-10,3.076986545550000011e-03,3.076979999999999993e-03,6.545550000000000005e-09
1.300000000000000044e+00,2.385830699999999955e-08,3.552069999999999812e-10,2.350310000000000086e-08,6.423247809999999675e-05,6.422099999999999380e-05,1.147810000000000072e-08,6.958809423000000306e-04,6.958619999999999996e-04,1.894230000000000148e-08,1.656280064341500002e-03,1.656279999999999992e-03,6.434149999999999438e-11,2.516290532480000217e-03,2.516290000000000020e-03,5.324800000000000058e-10,3.279666586480000073e-03,3.279660000000000214e-03,6.586480000000000193e-09
1.400000000000000133e+00,2.340002199999999817e-08,3.370220000000000073e-10,2.306299999999999946e-08,6.450733310000000007e-05,6.449629999999999437e-05,1.103310000000000071e-08,6.983800651000000078e-04,6.983609999999999905e-04,1.906510000000000109e-08,1.718240060500599974e-03,1.718240000000000002e-03,6.050059999999999527e-11,2.643640535153000092e-03,2.643640000000000052e-03,5.351529999999999820e-10,3.472456612060000405e-03,3.472450000000000189e-03,6.612060000000000016e-09
1.500000000000000000e+00,2.230898900000000124e-08,3.206889999999999976e-10,2.198830000000000109e-08,6.478173500000000598e-05,6.477150000000000149e-05,1.023500000000000033e-08,7.006253259999999658e-04,7.006059999999999935e-04,1.932600000000000047e-08,1.768150054655700121e-03,1.768150000000000017e-03,5.465570000000000106e-11,2.768840540162999676e-03,2.768839999999999843e-03,5.401630000000000505e-10,3.645876638660000037e-03,3.645869999999999840e-03,6.638659999999999903e-09
1.600000000000000089e+00,2.036737700000000073e-08,3.031770000000000068e-10,2.006420000000000109e-08,6.495568569999999903e-05,6.494519999999999612e-05,1.048570000000000071e-08,7.049439294000000786e-04,7.049260000000000335e-04,1.792939999999999973e-08,1.803870043967800057e-03,1.803869999999999953e-03,4.396780000000000093e-11,2.882000545506999828e-03,2.882000000000000013e-03,5.455069999999999858e-10,3.827466656060000017e-03,3.827459999999999977e-03,6.656060000000000277e-09
1.700000000000000178e+00,1.850128599999999988e-08,2.844859999999999831e-10,1.821679999999999938e-08,6.508744120000000506e-05,6.508070000000000185e-05,6.741199999999999841e-09,7.062565098999999853e-04,7.062389999999999987e-04,1.750990000000000051e-08,1.841730035450900001e-03,1.841729999999999973e-03,3.545090000000000033e-11,2.980530549013999959e-03,2.980529999999999898e-03,5.490139999999999820e-10,3.996156704660000329e-03,3.996150000000000396e-03,6.704660000000000296e-09
1.800000000000000044e+00,1.825162199999999887e-08,2.651219999999999764e-10,1.798650000000000029e-08,6.588252875999999489e-05,6.588100000000000163e-05,1.528760000000000002e-09,7.093909498999999763e-04,7.093730000000000131e-04,1.794989999999999982e-08,1.860660026268200163e-03,1.860660000000000092e-03,2.626820000000000150e-11,3.068300552354999780e-03,3.068299999999999934e-03,5.523550000000000018e-10,4.151076730239999617e-03,4.151069999999999760e-03,6.730240000000000118e-09
1.900000000000000133e+00,1.616059999999999980e-08,2.466000000000000066e-10,1.591399999999999943e-08,6.499316735999999652e-05,6.499169999999999644e-05,1.467359999999999987e-09,7.106588063999999148e-04,7.106429999999999518e-04,1.580640000000000117e-08,1.882179946105099963e-03,1.882180000000000008e-03,-5.389489999999999889e-11,3.151340551519999679e-03,3.151339999999999870e-03,5.515199999999999732e-10,4.298246768099999761e-03,4.298240000000000047e-03,6.768100000000000234e-09
